Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,4909,4943,5061,5459,5831,5400,5527,6146,5858,6039,6350,5846,6599,6847,6482,5927,5580,5879,6516,5006,6446,4539,4957,4839,4067,5788,4206,4838,5196,4233,6317,4119,4547,4775,3679,5484,3505,4234,4470,3483,4821,3098,4098,3787,2927,4561,2841,3406,3473,2687,3808,2417,2655,2727,2185,3174,1915,2190,2007,1441,2393,1270,1366,1337,1166,1772,883,1293,839,574,1277,462,700,696,500,1075,408,492,538,289,594,227,280,269,207,296,131,139,102,72,280,292072,Kambalu,MMR005007
 Yes - some difficulty,76,57,29,9,8,5,6,7,8,7,5,11,6,8,13,8,8,12,5,7,13,11,6,9,9,14,3,13,10,13,11,11,15,7,11,15,13,15,13,18,15,12,15,12,15,28,16,18,24,18,39,24,42,32,30,49,36,33,36,28,61,21,21,34,35,73,39,46,27,34,78,29,41,46,39,71,29,62,57,30,67,26,33,30,25,48,25,20,15,17,98,2324,Kambalu,MMR005007
 Yes - a lot of difficulty,60,18,8,7,3,4,4,4,3,6,6,1,4,4,6,6,4,1,5,2,3,5,4,6,3,4,6,9,3,5,5,2,5,2,-,9,3,3,4,3,6,3,4,2,5,7,7,11,1,2,5,3,10,8,1,8,9,6,6,8,20,7,8,6,11,17,5,12,12,6,23,7,10,7,12,21,12,6,16,12,34,11,12,14,11,19,9,7,10,3,46,758,Kambalu,MMR005007
 Yes - cannot walk at all,27,6,7,3,2,2,3,6,5,1,4,1,3,3,2,2,2,4,2,3,2,2,4,3,2,4,4,4,1,1,1,2,1,3,-,5,2,-,2,1,2,3,1,3,1,4,2,3,4,4,5,-,5,4,2,7,2,-,5,5,6,4,6,7,2,7,3,7,4,5,10,-,1,5,1,15,5,8,6,5,14,2,8,7,12,6,4,6,6,5,36,407,Kambalu,MMR005007
 Total,5072,5024,5105,5478,5844,5411,5540,6163,5874,6053,6365,5859,6612,6862,6503,5943,5594,5896,6528,5018,6464,4557,4971,4857,4081,5810,4219,4864,5210,4252,6334,4134,4568,4787,3690,5513,3523,4252,4489,3505,4844,3116,4118,3804,2948,4600,2866,3438,3502,2711,3857,2444,2712,2771,2218,3238,1962,2229,2054,1482,2480,1302,1401,1384,1214,1869,930,1358,882,619,1388,498,752,754,552,1182,454,568,617,336,709,266,333,320,255,369,169,172,133,97,460,295561,Kambalu,MMR005007
