Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2347,2784,3103,3445,3466,3413,3669,3794,3418,3557,3731,3418,3921,3787,3373,3019,2608,2356,2604,2015,2328,1833,2011,2030,1784,2320,1853,2033,2127,1810,2352,1881,1930,2062,1741,2326,1729,1828,2022,1796,2121,1373,2096,1739,1564,2104,1637,1470,1659,1381,1647,1201,1307,1373,1055,1420,1081,966,972,776,1057,692,773,825,707,878,607,603,496,327,561,252,309,316,293,482,245,151,240,115,147,95,122,99,93,96,64,40,34,21,103,143409,Tanatpin,MMR007002
 Yes - some difficulty,5,16,7,3,8,6,6,5,5,9,10,10,5,1,9,5,5,3,9,8,4,3,6,7,5,11,4,4,7,1,3,3,6,4,4,4,6,5,5,6,13,4,7,16,8,12,10,9,9,12,17,14,11,24,12,21,26,17,26,16,37,16,25,27,25,28,29,36,25,18,46,15,22,26,21,51,25,35,38,23,39,16,25,22,17,18,15,11,9,4,34,1295,Tanatpin,MMR007002
 Yes - a lot of difficulty,10,1,3,4,4,2,4,9,2,1,1,1,1,3,1,6,3,-,4,-,3,1,2,1,1,2,1,1,1,1,2,2,2,-,2,1,1,3,3,2,2,1,2,2,2,5,2,3,2,6,1,2,3,1,3,3,8,2,6,1,4,3,8,12,3,10,8,8,5,5,9,5,9,9,3,13,8,6,10,1,15,4,6,9,2,8,4,4,1,3,10,354,Tanatpin,MMR007002
 Yes - cannot walk at all,1,2,4,7,1,5,1,2,3,4,1,4,1,1,2,1,3,2,-,1,6,1,1,-,-,2,-,2,2,-,2,-,3,-,-,2,-,-,-,-,1,1,1,-,1,3,2,1,-,-,1,6,1,2,-,4,-,2,2,5,1,3,1,2,1,4,5,10,1,2,8,3,6,2,2,3,11,4,13,4,5,3,3,5,3,5,2,2,-,-,15,229,Tanatpin,MMR007002
 Total,2363,2803,3117,3459,3479,3426,3680,3810,3428,3571,3743,3433,3928,3792,3385,3031,2619,2361,2617,2024,2341,1838,2020,2038,1790,2335,1858,2040,2137,1812,2359,1886,1941,2066,1747,2333,1736,1836,2030,1804,2137,1379,2106,1757,1575,2124,1651,1483,1670,1399,1666,1223,1322,1400,1070,1448,1115,987,1006,798,1099,714,807,866,736,920,649,657,527,352,624,275,346,353,319,549,289,196,301,143,206,118,156,135,115,127,85,57,44,28,162,145287,Tanatpin,MMR007002
