Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,3578,3687,3561,3838,3868,3564,3673,3964,3722,3862,3858,3619,3828,3640,3099,3085,3070,3125,3400,2976,3370,2772,2688,2832,2472,2697,2215,2418,2700,2385,2666,1940,2138,2184,1978,2167,1780,1732,1802,1562,1961,1380,1906,1683,1572,1791,1276,1292,1312,1169,1588,1023,1084,1250,1201,1273,1023,864,769,661,970,486,573,522,496,538,362,310,270,180,374,170,230,196,162,211,110,109,112,68,125,58,81,50,59,59,33,33,17,26,61,150644,Hsihseng,MMR014004
 Yes - some difficulty,65,41,25,5,4,5,9,4,6,10,10,6,6,5,4,4,4,4,8,11,6,3,6,7,5,13,11,8,9,12,14,11,7,10,21,11,9,7,19,13,27,14,13,15,21,26,27,25,23,31,35,19,29,27,36,37,49,46,37,42,56,31,36,30,41,42,39,38,31,24,51,21,35,25,32,41,21,19,16,23,22,10,14,10,9,6,11,8,3,3,9,1774,Hsihseng,MMR014004
 Yes - a lot of difficulty,18,1,3,1,3,2,1,6,3,1,3,3,4,5,4,5,2,1,4,1,4,2,1,4,3,6,-,5,1,2,6,-,2,3,3,6,2,4,-,2,2,2,4,4,4,5,2,4,4,2,9,2,6,9,6,2,5,3,4,4,7,2,4,5,1,4,6,6,6,4,6,2,3,8,4,7,5,5,7,5,11,2,5,2,4,7,2,4,7,3,7,361,Hsihseng,MMR014004
 Yes - cannot walk at all,33,20,20,5,5,6,2,1,3,2,-,2,3,2,3,3,2,1,3,3,1,-,3,1,1,3,1,1,1,-,1,1,1,-,2,1,3,4,1,-,1,-,2,1,-,2,1,2,2,2,5,3,2,2,5,3,3,3,2,2,3,-,5,3,1,3,2,3,1,1,4,2,5,3,6,1,3,-,2,1,4,-,-,-,3,2,2,-,-,1,4,253,Hsihseng,MMR014004
 Total,3694,3749,3609,3849,3880,3577,3685,3975,3734,3875,3871,3630,3841,3652,3110,3097,3078,3131,3415,2991,3381,2777,2698,2844,2481,2719,2227,2432,2711,2399,2687,1952,2148,2197,2004,2185,1794,1747,1822,1577,1991,1396,1925,1703,1597,1824,1306,1323,1341,1204,1637,1047,1121,1288,1248,1315,1080,916,812,709,1036,519,618,560,539,587,409,357,308,209,435,195,273,232,204,260,139,133,137,97,162,70,100,62,75,74,48,45,27,33,81,153032,Hsihseng,MMR014004
