Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,818,857,846,911,940,929,911,926,759,776,980,851,1095,984,923,871,824,886,1223,1122,1569,1291,1423,1432,1239,1381,1129,1190,1205,1037,1293,863,973,848,757,991,682,675,742,570,748,494,652,558,434,648,469,445,464,402,485,326,376,378,349,464,334,260,290,227,309,175,197,181,160,178,120,140,100,49,143,39,47,65,50,105,57,39,48,18,58,28,24,23,14,38,21,15,9,6,30,51011,Dekkhinathiri,MMR018004
 Yes - some difficulty,10,10,6,7,5,5,2,1,1,2,2,1,1,1,-,1,-,-,2,1,1,-,1,1,-,1,2,1,1,2,3,-,3,-,-,3,1,1,1,1,1,3,1,2,6,4,2,1,2,2,1,2,2,1,1,4,2,1,1,-,3,1,1,2,3,8,2,5,3,1,5,1,3,2,3,11,4,1,2,1,7,3,3,4,3,3,1,2,-,-,7,215,Dekkhinathiri,MMR018004
 Yes - a lot of difficulty,8,2,3,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-,1,-,-,1,-,-,2,1,1,-,-,-,-,-,-,1,1,1,-,2,-,-,1,1,-,-,1,-,-,-,-,-,2,-,1,1,-,-,-,-,1,-,-,-,1,2,1,-,-,2,-,2,-,4,1,2,1,1,-,-,-,2,-,1,58,Dekkhinathiri,MMR018004
 Yes - cannot walk at all,4,-,1,1,1,-,1,1,-,1,-,-,1,-,-,1,-,1,-,-,-,1,1,-,1,-,1,2,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,1,1,-,1,1,-,-,1,-,1,-,-,-,-,1,1,1,1,1,1,-,-,2,-,2,-,1,-,-,1,44,Dekkhinathiri,MMR018004
 Total,840,869,856,919,947,934,915,928,760,779,982,852,1097,986,923,873,824,887,1225,1123,1571,1293,1425,1434,1240,1382,1132,1194,1206,1039,1297,863,976,850,759,995,684,676,743,571,749,497,654,561,441,654,473,446,466,405,488,328,378,380,351,468,336,261,292,229,312,178,200,183,164,187,122,146,104,50,149,41,52,68,53,117,64,41,53,20,70,32,29,30,18,43,22,18,11,6,39,51328,Dekkhinathiri,MMR018004
 No - no difficulty,800130,832777,874491,938660,968775,934333,968106,992396,954007,948113,1017933,940143,1043999,1079347,1006186,957759,881850,903829,1015125,849586,1047189,808950,843429,840265,773319,958620,754072,795919,866316,749940,1016091,691771,770650,752341,643761,881469,640214,658358,742422,613254,817642,528902,707974,638222,553297,770644,542511,538285,579806,465983,660156,429142,482962,492168,428358,532211,402712,368092,376388,295803,454304,249772,277654,272650,232176,312946,187687,210655,157776,109317,204956,91813,114090,114477,97096,167029,85215,73167,85760,46669,88694,41878,45738,43029,34332,42588,23715,19328,14783,10852,44865,49322164,Dekkhinathiri,MMR018004
 Yes - some difficulty,10977,9235,5733,4118,3045,2535,2492,2444,2228,2189,2369,2049,2339,2434,2225,2281,1946,1998,2243,1940,2575,1923,2216,2180,2112,3136,2548,2674,3081,2675,4141,2778,3248,3439,3132,4626,3381,3717,4539,3886,6387,4124,6078,5731,5505,8758,6620,6956,8261,7358,12585,8199,9961,11177,10256,14314,11953,11212,12434,10555,20191,10944,12824,13681,12905,19014,12240,14463,11791,8663,21537,8989,12306,13156,12320,23145,12319,11211,14263,8324,18874,8649,10027,9902,8272,10879,6204,5127,4069,3024,14939,681503,Dekkhinathiri,MMR018004
 Yes - a lot of difficulty,7823,3048,1600,1292,1166,1029,1068,1016,990,1049,1093,874,1063,1039,925,956,804,796,903,757,1039,754,824,828,759,1075,838,802,914,799,1308,743,974,984,793,1325,862,933,1055,905,1587,890,1287,1269,1175,1900,1350,1333,1595,1305,2596,1468,1908,2050,1934,2660,2182,2019,2356,1961,3841,1997,2422,2650,2533,3980,2360,2875,2444,1734,4835,1846,2668,2905,2773,5571,2971,2634,3704,2215,5703,2442,2941,3053,2713,3753,2194,1893,1615,1204,7647,176746,Dekkhinathiri,MMR018004
 Yes - cannot walk at all,4448,1334,1107,1170,1201,1080,1072,1031,967,932,961,790,881,874,838,693,713,589,687,534,707,496,521,515,468,671,527,512,554,461,764,427,563,494,459,679,446,465,498,446,812,447,635,603,506,891,603,674,715,600,1031,658,813,938,872,1176,995,964,1122,828,1749,926,1171,1270,1185,1861,1161,1414,1235,877,2227,954,1343,1464,1415,2856,1509,1412,2089,1235,2969,1325,1701,1748,1586,2274,1413,1282,1052,820,5506,99487,Dekkhinathiri,MMR018004
 Total,823378,846394,882931,945240,974187,938977,972738,996887,958192,952283,1022356,943856,1048282,1083694,1010174,961689,885313,907212,1018958,852817,1051510,812123,846990,843788,776658,963502,757985,799907,870865,753875,1022304,695719,775435,757258,648145,888099,644903,663473,748514,618491,826428,534363,715974,645825,560483,782193,551084,547248,590377,475246,676368,439467,495644,506333,441420,550361,417842,382287,392300,309147,480085,263639,294071,290251,248799,337801,203448,229407,173246,120591,233555,103602,130407,132002,113604,198601,102014,88424,105816,58443,116240,54294,60407,57732,46903,59494,33526,27630,21519,15900,72957,50279900,Dekkhinathiri,MMR018004
