Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,616,753,785,904,985,1035,975,988,979,918,958,880,1055,1046,827,753,748,646,858,631,804,543,659,670,556,869,593,611,803,533,876,512,703,625,527,902,578,576,674,436,679,388,722,513,388,781,380,422,556,313,621,284,417,397,362,539,353,282,340,196,466,172,211,232,186,374,159,192,154,83,258,72,102,110,83,182,91,39,77,18,115,30,42,28,31,55,23,18,12,13,39,42990,Maei(ST),MMR012016
 Yes - some difficulty,27,13,13,2,1,2,1,2,1,1,1,2,2,1,1,2,3,-,2,1,1,-,-,1,-,3,1,-,3,-,5,2,4,1,2,1,2,2,2,3,3,4,4,1,3,5,1,1,4,3,6,1,6,5,6,11,4,6,13,8,15,5,13,10,5,22,11,18,12,15,41,9,17,21,15,41,13,19,25,10,41,9,10,8,6,16,9,5,2,2,13,664,Maei(ST),MMR012016
 Yes - a lot of difficulty,20,5,1,-,1,-,1,1,-,2,1,1,2,-,-,1,1,-,3,2,1,-,-,-,2,3,-,-,1,-,1,1,-,-,-,-,1,-,-,2,-,-,1,1,1,3,2,-,1,-,-,1,-,1,2,1,2,1,-,-,2,-,2,-,1,2,3,2,4,-,6,-,-,1,4,8,5,1,5,3,9,4,8,4,4,9,3,3,2,-,9,175,Maei(ST),MMR012016
 Yes - cannot walk at all,-,1,-,1,1,-,1,-,2,-,1,-,-,2,1,3,1,-,-,-,-,-,1,-,-,2,-,-,-,-,-,1,1,1,1,3,-,-,-,-,2,-,1,1,1,-,-,-,1,-,-,-,-,-,-,2,-,-,1,1,1,-,-,-,-,2,-,1,-,-,3,-,3,1,2,1,1,-,5,1,4,2,2,2,-,1,-,2,-,-,7,75,Maei(ST),MMR012016
 Total,663,772,799,907,988,1037,978,991,982,921,961,883,1059,1049,829,759,753,646,863,634,806,543,660,671,558,877,594,611,807,533,882,516,708,627,530,906,581,578,676,441,684,392,728,516,393,789,383,423,562,316,627,286,423,403,370,553,359,289,354,205,484,177,226,242,192,400,173,213,170,98,308,81,122,133,104,232,110,59,112,32,169,45,62,42,41,81,35,28,16,15,68,43904,Maei(ST),MMR012016
