Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2712,2676,3002,2987,3118,2922,3417,3719,3266,3249,3704,3429,3669,3860,3378,3176,2941,3054,3250,2670,3383,2489,2334,2514,2365,2752,2331,2548,2759,2640,3230,2478,2923,2621,2397,3233,2465,2557,2814,2621,3234,2160,2605,2630,2386,3293,2316,2347,2303,1864,2592,1861,1909,2152,1797,2200,1666,1863,1596,1306,1936,1316,1538,1385,1241,1664,898,1174,831,593,1075,552,693,655,558,898,417,453,447,227,442,212,212,197,153,204,88,92,46,46,204,182180,Chauk,MMR009003
 Yes - some difficulty,19,16,10,2,4,6,9,2,2,10,6,5,5,5,5,7,5,4,6,6,8,4,4,4,8,6,7,10,11,5,12,8,11,13,11,16,17,13,15,13,26,9,14,18,12,29,15,18,23,23,35,30,27,35,31,36,32,28,36,19,58,29,48,44,44,58,49,47,40,31,87,31,59,53,49,90,37,44,48,32,74,30,42,42,25,49,18,18,10,10,56,2178,Chauk,MMR009003
 Yes - a lot of difficulty,4,2,2,2,2,3,3,1,3,2,6,4,3,3,2,3,4,3,1,5,2,1,1,1,2,1,3,7,4,2,2,2,7,1,2,6,1,4,2,2,2,1,1,1,3,6,5,4,6,8,5,7,6,7,6,9,8,7,3,5,13,11,9,8,7,10,6,5,6,10,17,6,15,6,11,12,9,5,10,7,17,13,4,10,9,14,2,1,2,7,18,491,Chauk,MMR009003
 Yes - cannot walk at all,3,-,3,1,5,5,3,3,5,1,4,1,1,3,-,2,3,2,1,1,2,3,2,1,1,2,2,3,-,1,2,-,1,1,4,3,1,3,5,3,1,1,1,3,4,3,2,6,1,2,3,4,1,3,8,3,1,7,3,5,7,2,10,5,9,10,5,9,8,6,4,4,7,4,8,15,4,4,8,2,12,4,3,10,3,8,4,4,2,1,9,340,Chauk,MMR009003
 Total,2738,2694,3017,2992,3129,2936,3432,3725,3276,3262,3720,3439,3678,3871,3385,3188,2953,3063,3258,2682,3395,2497,2341,2520,2376,2761,2343,2568,2774,2648,3246,2488,2942,2636,2414,3258,2484,2577,2836,2639,3263,2171,2621,2652,2405,3331,2338,2375,2333,1897,2635,1902,1943,2197,1842,2248,1707,1905,1638,1335,2014,1358,1605,1442,1301,1742,958,1235,885,640,1183,593,774,718,626,1015,467,506,513,268,545,259,261,259,190,275,112,115,60,64,287,185189,Chauk,MMR009003
