Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,672,735,794,800,862,821,899,977,943,978,1091,1054,1156,1539,1547,1557,1707,2043,2323,2300,2623,2469,2462,2541,2290,2335,2051,1991,2051,1848,2187,1439,1619,1539,1396,1531,1374,1356,1449,1239,1655,1149,1404,1406,1246,1396,1280,1258,1384,1178,1349,1090,1232,1148,1100,1130,1037,989,1079,908,1050,726,865,741,637,672,612,634,533,407,460,286,333,331,288,352,302,242,275,151,241,168,169,163,151,123,92,84,70,51,211,98426,Sangyoung,MMR013039
 Yes - some difficulty,18,5,-,1,1,-,1,-,1,2,1,2,1,-,1,1,1,-,2,1,3,1,2,4,1,2,2,-,1,4,1,3,4,9,3,2,4,2,3,3,6,2,3,6,2,6,5,9,11,9,10,8,12,8,18,13,8,11,15,16,18,18,15,22,19,13,13,22,13,14,9,10,18,13,20,27,21,8,23,13,32,16,25,13,23,15,20,15,14,13,37,823,Sangyoung,MMR013039
 Yes - a lot of difficulty,1,-,1,-,-,-,-,2,-,-,-,-,1,2,-,-,-,1,-,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,1,-,1,1,-,1,1,1,4,-,3,1,-,-,1,2,1,1,3,-,3,3,4,3,2,1,2,6,3,4,5,3,5,7,1,7,4,1,3,5,1,5,7,5,8,1,5,5,4,6,4,2,4,8,11,3,27,212,Sangyoung,MMR013039
 Yes - cannot walk at all,3,-,1,-,1,-,-,2,-,2,1,1,1,-,-,2,-,-,2,1,-,-,1,-,2,-,1,-,-,1,1,-,-,-,1,-,-,1,-,1,-,1,1,2,-,1,-,-,1,1,1,2,1,-,1,3,1,1,2,3,2,-,4,2,2,3,-,6,2,1,4,3,4,3,1,2,4,1,3,2,3,4,4,6,9,4,5,3,4,4,15,158,Sangyoung,MMR013039
 Total,694,740,796,801,864,821,900,981,944,982,1093,1057,1159,1541,1548,1560,1708,2044,2327,2302,2626,2470,2466,2545,2294,2338,2055,1991,2052,1853,2189,1442,1623,1548,1401,1533,1379,1360,1452,1244,1662,1153,1412,1414,1251,1404,1285,1267,1397,1190,1361,1101,1248,1156,1122,1149,1050,1004,1098,928,1072,750,887,769,663,691,630,669,549,429,477,300,358,352,310,386,334,256,309,167,281,193,202,188,187,144,121,110,99,71,290,99619,Sangyoung,MMR013039
