Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,1672,1877,1826,1836,2055,2171,2256,2157,2229,2288,2291,2333,2374,2461,2377,2229,1759,1806,1775,1563,1857,1541,1519,1551,1423,1761,1412,1717,1967,1733,2110,1710,1753,1792,1530,2062,1616,1590,1862,1704,1799,1302,1886,1575,1409,1689,1375,1274,1434,1162,1266,1054,1166,1152,1018,1233,917,858,862,679,914,587,692,641,503,648,497,492,375,201,321,189,215,243,213,349,189,139,171,87,147,76,104,71,57,68,53,36,32,29,62,109056,Kungyangon,MMR013029
 Yes - some difficulty,2,5,10,7,6,1,9,9,6,2,3,7,6,11,7,8,7,5,4,5,8,1,5,3,2,6,5,6,8,7,8,12,8,18,12,12,7,9,11,10,23,7,19,10,17,20,18,24,27,26,33,25,27,35,39,46,37,33,36,34,37,37,49,61,38,53,46,48,50,24,35,23,22,27,37,50,22,31,52,21,35,25,31,42,25,27,14,14,15,6,33,1844,Kungyangon,MMR013029
 Yes - a lot of difficulty,-,3,4,5,4,4,4,3,2,5,6,2,3,8,7,6,2,3,2,-,1,-,-,-,2,1,2,2,1,1,6,3,4,2,2,2,1,3,2,3,5,1,1,5,2,4,8,9,4,6,7,6,6,2,4,8,6,8,7,4,9,2,9,8,10,11,7,12,8,3,6,6,8,13,10,15,14,8,6,7,13,7,12,7,4,6,3,7,3,4,12,464,Kungyangon,MMR013029
 Yes - cannot walk at all,7,4,4,4,7,1,3,2,3,9,1,3,3,3,2,1,2,2,-,2,2,3,2,-,-,2,2,-,1,1,-,-,3,1,2,-,2,1,1,2,1,-,1,2,1,3,1,7,1,1,1,1,-,-,4,3,-,3,4,5,4,2,4,7,6,1,3,6,5,3,11,1,3,2,4,5,4,2,4,3,9,4,4,6,4,7,2,3,5,2,15,268,Kungyangon,MMR013029
 Total,1681,1889,1844,1852,2072,2177,2272,2171,2240,2304,2301,2345,2386,2483,2393,2244,1770,1816,1781,1570,1868,1545,1526,1554,1427,1770,1421,1725,1977,1742,2124,1725,1768,1813,1546,2076,1626,1603,1876,1719,1828,1310,1907,1592,1429,1716,1402,1314,1466,1195,1307,1086,1199,1189,1065,1290,960,902,909,722,964,628,754,717,557,713,553,558,438,231,373,219,248,285,264,419,229,180,233,118,204,112,151,126,90,108,72,60,55,41,122,111632,Kungyangon,MMR013029
