Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,1138,1026,1041,1073,1058,1009,1049,1106,1063,973,1072,877,982,1042,967,940,865,853,1136,853,1127,800,945,917,836,1082,872,863,1025,783,1364,705,947,855,720,918,691,664,756,569,996,464,649,602,492,788,418,374,397,317,623,274,318,341,304,365,284,204,199,151,346,101,108,132,103,193,75,96,65,41,165,35,34,56,32,68,21,14,26,12,69,3,17,17,11,23,5,6,6,4,49,48055,Tanaing,MMR001004
 Yes - some difficulty,1,2,1,-,3,2,1,1,1,2,2,4,1,5,1,2,3,-,1,4,7,-,2,3,-,4,2,5,2,6,5,5,3,2,1,5,5,2,6,1,9,5,8,2,8,8,5,4,5,6,12,4,4,7,4,12,6,5,6,2,11,2,7,10,3,10,3,2,5,1,12,3,6,4,6,9,6,2,4,3,16,2,-,1,3,4,-,1,1,-,15,377,Tanaing,MMR001004
 Yes - a lot of difficulty,-,-,-,2,-,-,-,1,1,1,1,1,2,-,-,1,2,-,-,1,-,1,3,-,1,3,-,3,2,2,-,1,2,-,2,2,1,1,1,1,3,1,1,-,2,2,-,2,1,1,1,1,1,1,2,1,-,-,1,-,2,-,1,1,1,3,1,-,2,-,3,-,-,1,-,1,1,-,1,1,2,-,-,-,1,1,-,-,-,-,4,87,Tanaing,MMR001004
 Yes - cannot walk at all,-,-,1,1,1,1,1,2,1,2,-,-,1,-,1,-,1,1,1,1,1,-,-,2,1,-,-,1,-,1,-,-,-,-,-,1,-,-,2,-,2,-,1,1,-,-,-,2,1,-,-,1,-,-,1,2,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,5,47,Tanaing,MMR001004
 Total,1139,1028,1043,1076,1062,1012,1051,1110,1066,978,1075,882,986,1047,969,943,871,854,1138,859,1135,801,950,922,838,1089,874,872,1029,792,1369,711,952,857,723,926,697,667,765,571,1010,470,659,605,502,798,423,382,404,324,636,280,323,349,311,380,290,209,206,154,360,103,116,143,107,206,79,98,72,42,181,38,40,61,38,78,28,16,31,16,88,5,17,19,15,29,5,7,7,4,73,48566,Tanaing,MMR001004
