Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,4380,4330,4676,5093,5348,4922,5153,5271,5181,5108,5380,5355,5832,5932,5771,5335,5395,5302,5794,4979,5528,4775,4986,4820,4420,5005,4149,4312,4676,4115,4985,3834,3969,4094,3454,4542,3498,3505,4287,3405,4199,2889,4080,3635,3327,3925,3174,2880,3248,2528,3182,2315,2608,2691,2324,2605,2102,1922,2008,1441,1966,1235,1336,1310,1065,1371,919,978,691,493,815,436,536,521,480,760,413,304,371,184,328,191,208,186,145,152,128,75,51,54,159,265840,Hlegu,MMR013004
 Yes - some difficulty,23,33,15,16,8,15,15,17,11,9,10,12,11,11,13,12,9,10,13,9,9,13,11,11,13,12,25,8,16,15,9,16,12,12,26,27,13,23,32,24,34,37,40,31,47,61,47,45,55,57,70,57,71,67,66,96,80,62,76,63,87,55,61,78,62,102,71,82,56,40,63,50,50,58,63,122,58,52,82,46,86,38,50,45,42,59,28,24,26,21,63,3581,Hlegu,MMR013004
 Yes - a lot of difficulty,24,6,8,1,6,5,1,10,7,1,6,4,8,4,3,3,1,5,2,3,5,2,5,3,5,5,4,2,3,3,4,4,8,5,2,8,4,5,8,10,8,7,10,13,8,9,10,9,4,18,19,14,20,18,11,11,13,16,16,10,15,10,10,22,13,10,17,23,13,8,19,9,14,12,17,29,19,14,14,16,18,6,20,19,9,21,11,3,2,3,31,894,Hlegu,MMR013004
 Yes - cannot walk at all,4,5,6,9,9,4,3,7,9,4,7,4,6,5,8,6,-,4,1,4,4,2,3,2,1,3,1,6,3,1,5,1,2,1,3,2,3,-,4,1,5,2,5,5,1,1,2,5,-,4,3,-,6,7,9,8,6,5,5,4,9,3,2,3,6,11,4,4,7,2,5,8,7,8,7,9,7,5,13,2,8,3,5,8,6,7,4,3,2,3,19,426,Hlegu,MMR013004
 Total,4431,4374,4705,5119,5371,4946,5172,5305,5208,5122,5403,5375,5857,5952,5795,5356,5405,5321,5810,4995,5546,4792,5005,4836,4439,5025,4179,4328,4698,4134,5003,3855,3991,4112,3485,4579,3518,3533,4331,3440,4246,2935,4135,3684,3383,3996,3233,2939,3307,2607,3274,2386,2705,2783,2410,2720,2201,2005,2105,1518,2077,1303,1409,1413,1146,1494,1011,1087,767,543,902,503,607,599,567,920,497,375,480,248,440,238,283,258,202,239,171,105,81,81,272,270741,Hlegu,MMR013004
