Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2374,2503,2226,2517,2562,2224,2501,2520,2500,2669,2778,2589,2858,2879,2805,2787,2537,2810,2778,2418,2860,2393,2605,2502,2245,2704,2361,2467,2509,2237,2849,2187,2325,2238,1938,2296,1881,2091,2160,1825,2170,1780,2166,1918,1955,2141,1699,1811,1993,1664,1924,1532,1714,1720,1374,1652,1278,1152,1116,867,1117,727,729,742,675,745,563,618,434,361,526,288,350,339,333,417,285,279,288,181,254,146,168,153,124,135,84,77,53,40,123,143488,Kawlin,MMR005024
 Yes - some difficulty,7,9,4,4,4,4,3,6,7,5,3,2,4,7,1,3,2,8,4,1,4,4,5,7,8,9,6,6,8,2,7,6,8,10,3,7,7,9,8,7,7,9,16,11,11,9,17,8,7,15,12,15,17,18,23,17,17,19,17,22,24,22,18,23,27,29,24,30,16,14,27,16,28,18,20,31,22,26,36,20,41,23,17,23,25,16,14,9,10,7,30,1192,Kawlin,MMR005024
 Yes - a lot of difficulty,13,6,2,4,4,3,4,3,2,1,2,1,3,6,3,2,3,-,1,1,3,3,1,3,6,1,5,5,3,2,3,2,2,4,1,2,1,2,3,-,2,2,2,1,5,7,5,2,2,4,7,6,4,2,1,3,2,1,8,4,5,1,2,9,4,2,11,8,7,3,10,1,9,6,10,16,15,8,11,12,10,5,6,6,11,7,3,6,4,6,11,411,Kawlin,MMR005024
 Yes - cannot walk at all,11,5,2,2,1,-,1,2,4,3,1,2,-,2,2,2,2,2,2,-,1,1,-,1,-,3,-,2,1,-,-,1,1,1,1,1,1,1,1,1,-,1,-,-,2,2,2,-,1,1,4,-,-,2,3,-,1,3,1,3,1,5,7,3,1,3,3,1,4,1,4,1,2,1,2,10,1,6,4,6,9,-,4,3,6,4,3,2,3,3,13,206,Kawlin,MMR005024
 Total,2405,2523,2234,2527,2571,2231,2509,2531,2513,2678,2784,2594,2865,2894,2811,2794,2544,2820,2785,2420,2868,2401,2611,2513,2259,2717,2372,2480,2521,2241,2859,2196,2336,2253,1943,2306,1890,2103,2172,1833,2179,1792,2184,1930,1973,2159,1723,1821,2003,1684,1947,1553,1735,1742,1401,1672,1298,1175,1142,896,1147,755,756,777,707,779,601,657,461,379,567,306,389,364,365,474,323,319,339,219,314,174,195,185,166,162,104,94,70,56,177,145297,Kawlin,MMR005024
