Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2203,2224,2442,2533,2665,2582,2611,2515,2460,2474,2535,2346,2442,2389,2208,2116,1984,1834,2250,1790,2255,1686,1845,1797,1595,1998,1599,1579,1767,1445,2047,1335,1549,1405,1250,1713,1195,1224,1447,1253,1520,1073,1511,1256,1141,1597,1119,1038,1222,868,1238,793,895,918,733,975,735,628,619,502,814,402,430,419,293,524,286,361,238,156,343,122,185,161,138,247,134,65,114,76,112,47,59,65,51,53,45,21,17,5,45,104996,Shwegyin,MMR007008
 Yes - some difficulty,22,19,22,23,11,7,8,5,4,8,10,9,8,7,4,5,6,4,4,6,4,1,6,6,5,10,2,3,8,4,8,7,7,5,9,11,7,9,14,7,17,6,21,18,15,24,22,18,23,16,45,27,41,27,37,31,28,30,39,30,51,24,32,32,30,52,27,42,42,30,56,22,27,39,38,67,35,21,28,21,43,10,18,18,17,23,13,6,6,6,43,1759,Shwegyin,MMR007008
 Yes - a lot of difficulty,19,12,8,4,3,3,4,4,1,3,5,3,1,3,3,2,4,3,1,1,6,2,8,-,2,5,2,6,2,3,5,3,6,4,3,6,2,-,5,1,3,5,4,2,1,7,6,8,4,4,8,7,5,8,11,14,7,3,4,5,8,1,7,3,8,9,3,2,3,4,7,5,4,5,8,12,10,7,7,4,14,4,2,10,13,8,7,5,2,6,18,480,Shwegyin,MMR007008
 Yes - cannot walk at all,1,6,2,2,3,5,4,5,7,1,2,3,1,1,1,2,4,-,-,-,-,1,1,3,1,-,2,-,2,-,2,-,-,-,-,3,1,4,-,-,3,4,1,3,-,4,3,1,4,-,3,2,2,-,1,5,6,3,3,1,7,3,4,2,3,4,3,4,2,1,6,1,3,5,2,7,6,2,3,3,2,2,3,4,4,3,3,1,1,-,14,227,Shwegyin,MMR007008
 Total,2245,2261,2474,2562,2682,2597,2627,2529,2472,2486,2552,2361,2452,2400,2216,2125,1998,1841,2255,1797,2265,1690,1860,1806,1603,2013,1605,1588,1779,1452,2062,1345,1562,1414,1262,1733,1205,1237,1466,1261,1543,1088,1537,1279,1157,1632,1150,1065,1253,888,1294,829,943,953,782,1025,776,664,665,538,880,430,473,456,334,589,319,409,285,191,412,150,219,210,186,333,185,95,152,104,171,63,82,97,85,87,68,33,26,17,120,107462,Shwegyin,MMR007008
