Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,176,177,171,180,203,185,220,205,235,165,233,183,253,204,216,179,223,180,220,156,208,156,175,158,221,217,175,169,200,136,222,136,185,171,158,144,139,111,161,108,138,96,139,105,112,107,80,87,96,78,103,55,72,64,91,72,78,65,68,37,70,45,37,36,30,38,30,22,19,18,37,11,23,10,11,7,10,11,13,6,4,4,7,1,3,2,-,-,-,-,4,9566,Lwe`ge`(ST),MMR001012
 Yes - some difficulty,-,1,2,-,-,-,-,-,1,-,-,1,1,-,2,1,-,1,1,3,-,2,1,-,1,2,1,1,-,2,4,-,1,2,2,4,4,1,1,1,3,3,5,4,5,5,2,3,6,5,10,2,10,8,7,13,9,4,5,4,15,2,9,8,7,5,7,9,8,4,22,5,12,5,7,10,5,1,4,3,18,3,5,8,7,3,3,3,1,2,4,362,Lwe`ge`(ST),MMR001012
 Yes - a lot of difficulty,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,2,-,-,1,-,-,-,2,-,2,-,1,-,-,-,-,-,-,3,-,1,1,-,1,-,1,-,-,-,-,-,2,-,2,-,2,-,3,1,1,1,-,-,3,-,1,1,-,2,1,1,-,-,4,1,2,-,4,5,-,1,1,2,3,-,-,2,-,2,-,1,2,-,9,79,Lwe`ge`(ST),MMR001012
 Yes - cannot walk at all,2,-,-,-,1,-,-,-,-,-,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,3,-,1,1,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,1,-,1,-,-,-,-,-,-,-,-,2,-,-,-,1,-,1,2,-,1,1,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,32,Lwe`ge`(ST),MMR001012
 Total,179,178,173,180,204,185,220,205,238,165,234,184,254,205,219,181,223,184,221,159,209,158,176,158,224,220,178,170,201,138,229,136,187,174,160,151,145,113,163,109,142,99,145,109,118,112,82,90,104,83,116,58,84,72,102,86,89,70,73,41,88,47,47,45,37,47,38,32,27,23,63,18,39,15,23,23,15,13,18,12,26,7,13,12,10,7,3,4,3,2,17,10039,Lwe`ge`(ST),MMR001012
