Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,1263,1486,1488,1597,1862,1681,1765,1673,1637,1711,1861,1855,1919,2050,1960,1858,1526,1733,1739,1599,1954,1522,1565,1620,1497,1907,1640,1796,2003,1769,2349,1822,1883,1988,1707,2325,1681,1829,1930,1764,2053,1597,2129,1823,1532,2134,1659,1734,1840,1552,1905,1485,1614,1792,1455,1755,1445,1339,1334,1166,1470,994,1122,1049,859,1014,757,715,508,400,618,376,439,424,382,640,362,299,348,208,318,205,219,189,165,189,73,73,46,54,156,118828,Shwedaung,MMR008006
 Yes - some difficulty,126,71,27,13,11,12,4,4,3,5,5,3,4,4,3,1,4,5,5,3,4,-,4,5,2,7,8,6,5,5,8,5,7,6,9,11,10,6,11,9,15,8,15,11,15,17,24,15,25,18,24,27,26,39,28,45,34,28,42,47,42,32,43,46,47,42,43,37,34,21,47,28,39,40,37,79,36,50,40,31,53,26,32,46,29,39,26,15,18,11,45,2098,Shwedaung,MMR008006
 Yes - a lot of difficulty,15,5,2,1,1,-,3,-,1,3,3,2,4,2,-,-,2,2,1,2,5,1,-,1,-,1,2,1,-,4,1,2,-,6,1,2,5,2,2,3,3,1,4,3,5,5,5,2,4,1,2,3,4,5,7,3,4,8,8,5,8,6,6,7,12,13,9,14,7,7,10,10,12,6,12,24,14,10,19,13,18,7,11,12,8,12,10,6,3,7,27,510,Shwedaung,MMR008006
 Yes - cannot walk at all,5,1,2,5,4,1,2,1,1,1,2,2,4,1,2,1,-,2,-,-,3,-,1,3,-,1,1,1,-,1,2,1,1,1,1,3,-,1,1,-,2,1,1,-,1,-,4,1,2,-,2,3,1,1,2,2,4,1,3,2,-,2,6,4,1,3,4,1,2,2,6,3,2,4,4,2,5,1,6,9,4,10,7,7,4,8,6,3,6,2,19,235,Shwedaung,MMR008006
 Total,1409,1563,1519,1616,1878,1694,1774,1678,1642,1720,1871,1862,1931,2057,1965,1860,1532,1742,1745,1604,1966,1523,1570,1629,1499,1916,1651,1804,2008,1779,2360,1830,1891,2001,1718,2341,1696,1838,1944,1776,2073,1607,2149,1837,1553,2156,1692,1752,1871,1571,1933,1518,1645,1837,1492,1805,1487,1376,1387,1220,1520,1034,1177,1106,919,1072,813,767,551,430,681,417,492,474,435,745,417,360,413,261,393,248,269,254,206,248,115,97,73,74,247,121671,Shwedaung,MMR008006
