Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,3153,3331,3710,3967,4293,3957,4141,4136,3828,3898,4018,4134,4268,4553,4342,4196,3774,3622,3719,3111,3605,2863,3155,3011,2855,3511,2803,2934,3274,2813,3523,2593,2786,2878,2479,3224,2444,2613,3046,2577,3069,2041,3072,2513,2469,3018,2401,2110,2499,1939,2526,1826,1990,2112,1699,2169,1617,1439,1622,1226,1604,1034,1155,1078,869,1202,805,914,699,522,819,403,458,468,414,687,401,318,369,200,316,188,174,203,161,183,88,72,59,49,156,196563,Nyaunglebin,MMR007005
 Yes - some difficulty,12,32,24,8,6,7,6,9,5,8,6,7,8,6,10,8,7,7,11,5,9,7,5,4,8,9,11,11,8,12,10,10,5,11,7,9,8,7,10,8,12,6,5,16,14,11,20,17,18,10,27,19,20,27,27,24,27,30,35,23,40,22,35,31,24,58,37,41,40,30,62,34,35,40,46,64,62,35,62,27,60,35,42,31,42,60,33,14,15,14,43,1963,Nyaunglebin,MMR007005
 Yes - a lot of difficulty,6,16,4,3,4,6,4,5,8,3,8,2,5,5,8,5,5,1,2,1,-,2,3,3,-,5,4,3,-,3,2,4,1,3,4,4,3,-,-,1,6,2,3,4,3,2,4,3,8,8,9,4,4,4,7,16,6,7,5,2,14,5,8,6,9,14,8,9,6,6,19,8,9,5,13,11,12,7,12,7,18,15,7,8,14,18,7,8,9,3,25,573,Nyaunglebin,MMR007005
 Yes - cannot walk at all,25,2,4,4,7,4,5,8,6,5,5,4,4,4,3,4,6,-,5,3,5,3,2,-,2,2,5,3,1,-,1,2,6,-,3,3,1,1,3,2,-,-,5,1,3,5,8,3,3,2,2,5,4,1,2,4,5,2,4,2,7,4,4,5,6,6,4,9,5,3,6,2,5,6,2,16,3,7,7,3,3,6,2,12,3,9,2,5,5,2,11,384,Nyaunglebin,MMR007005
 Total,3196,3381,3742,3982,4310,3974,4156,4158,3847,3914,4037,4147,4285,4568,4363,4213,3792,3630,3737,3120,3619,2875,3165,3018,2865,3527,2823,2951,3283,2828,3536,2609,2798,2892,2493,3240,2456,2621,3059,2588,3087,2049,3085,2534,2489,3036,2433,2133,2528,1959,2564,1854,2018,2144,1735,2213,1655,1478,1666,1253,1665,1065,1202,1120,908,1280,854,973,750,561,906,447,507,519,475,778,478,367,450,237,397,244,225,254,220,270,130,99,88,68,235,199483,Nyaunglebin,MMR007005
