Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,4070,3979,3738,4049,3965,3670,3886,4033,3960,4029,4394,4197,4709,5100,5109,5389,5268,6088,6756,6127,6527,5077,4850,4919,4565,5212,4529,4788,5061,4594,5415,4007,4315,4163,3703,4413,3567,3565,3819,3219,3983,2983,3500,3331,2963,3646,2743,2788,2952,2399,2994,2110,2448,2388,2241,2328,1882,1784,1820,1490,1915,1219,1319,1218,1144,1246,896,888,735,611,784,492,528,504,431,642,405,327,354,217,357,195,179,203,176,168,107,95,79,64,223,253318,Pyin Oo Lwin,MMR010008
 Yes - some difficulty,37,28,5,3,2,4,3,5,4,7,7,6,4,5,3,4,3,6,4,8,10,7,6,10,7,13,12,13,9,15,12,11,8,14,10,14,11,13,16,8,12,14,12,17,19,27,21,20,21,27,27,20,17,33,36,28,24,29,36,27,43,21,29,20,24,46,26,30,20,21,29,12,26,22,22,35,20,22,25,16,27,17,17,8,11,18,10,13,7,4,28,1503,Pyin Oo Lwin,MMR010008
 Yes - a lot of difficulty,16,3,2,2,1,1,4,2,2,4,5,2,3,1,3,1,4,2,3,2,1,2,2,2,6,3,3,4,1,1,8,2,5,4,5,3,2,8,4,4,7,5,5,6,4,4,4,4,4,4,6,4,12,9,14,7,11,6,7,6,10,5,4,5,3,11,6,5,7,4,8,4,9,2,4,5,4,9,4,3,7,3,7,5,5,3,1,3,4,2,16,430,Pyin Oo Lwin,MMR010008
 Yes - cannot walk at all,3,1,5,2,4,2,2,6,9,2,1,7,5,3,4,-,3,4,5,1,2,1,2,3,2,-,3,-,2,1,3,2,3,3,2,-,-,2,1,-,4,4,1,3,3,4,1,2,-,2,6,1,5,3,2,7,1,6,4,3,2,5,5,2,3,5,1,2,2,2,2,3,4,5,2,6,2,4,2,-,1,2,1,2,5,6,3,-,2,4,9,257,Pyin Oo Lwin,MMR010008
 Total,4126,4011,3750,4056,3972,3677,3895,4046,3975,4042,4407,4212,4721,5109,5119,5394,5278,6100,6768,6138,6540,5087,4860,4934,4580,5228,4547,4805,5073,4611,5438,4022,4331,4184,3720,4430,3580,3588,3840,3231,4006,3006,3518,3357,2989,3681,2769,2814,2977,2432,3033,2135,2482,2433,2293,2370,1918,1825,1867,1526,1970,1250,1357,1245,1174,1308,929,925,764,638,823,511,567,533,459,688,431,362,385,236,392,217,204,218,197,195,121,111,92,74,276,255508,Pyin Oo Lwin,MMR010008
