Disability_walking,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2505,2455,2869,3642,3886,4376,4100,4460,4371,4363,4548,4222,5156,5431,4518,4396,3969,3489,4537,3174,3564,2580,2970,3059,2734,3652,2524,2676,3026,2302,3278,2315,2570,2565,1913,2969,1869,1948,2489,1680,2408,1461,2619,2033,1846,2834,1885,1724,2286,1609,2480,1630,2022,1894,1571,2214,1639,1186,1398,889,1606,764,965,957,814,1287,654,785,647,377,805,244,351,349,247,549,252,191,248,127,295,101,103,100,104,141,61,40,26,16,87,184071,Myauk U,MMR012003
 Yes - some difficulty,145,139,72,54,31,24,17,12,12,12,13,7,9,12,11,15,13,11,13,13,11,13,16,13,8,15,6,12,8,15,21,8,12,15,15,23,16,9,19,11,21,9,25,20,18,33,18,26,32,25,60,45,40,66,36,65,72,50,59,37,134,48,73,81,91,143,89,80,86,65,161,45,73,75,74,166,79,55,97,39,109,41,50,49,46,68,33,26,13,13,60,3920,Myauk U,MMR012003
 Yes - a lot of difficulty,83,22,4,5,6,4,5,3,5,10,3,3,12,8,8,8,4,6,1,3,11,6,9,11,8,9,6,7,17,2,5,2,1,1,5,5,4,1,6,5,11,3,8,5,6,5,6,5,5,2,10,4,7,7,7,7,15,7,10,3,19,10,10,9,16,21,15,17,10,13,34,6,19,23,8,57,20,11,26,11,54,13,23,15,12,36,14,15,10,3,35,1042,Myauk U,MMR012003
 Yes - cannot walk at all,75,13,11,8,3,9,4,7,3,6,5,4,6,7,5,-,5,2,6,4,6,5,6,6,2,3,6,2,3,1,6,2,5,4,1,5,4,2,5,-,3,3,3,3,1,4,-,1,3,1,5,3,7,3,5,3,6,3,3,2,7,5,7,1,7,10,6,7,10,6,15,4,9,9,7,10,13,6,7,6,19,6,10,10,9,17,10,6,4,4,31,597,Myauk U,MMR012003
 Total,2808,2629,2956,3709,3926,4413,4126,4482,4391,4391,4569,4236,5183,5458,4542,4419,3991,3508,4557,3194,3592,2604,3001,3089,2752,3679,2542,2697,3054,2320,3310,2327,2588,2585,1934,3002,1893,1960,2519,1696,2443,1476,2655,2061,1871,2876,1909,1756,2326,1637,2555,1682,2076,1970,1619,2289,1732,1246,1470,931,1766,827,1055,1048,928,1461,764,889,753,461,1015,299,452,456,336,782,364,263,378,183,477,161,186,174,171,262,118,87,53,36,213,189630,Myauk U,MMR012003
