Urban_Rural,Radio_Yes,Radio_No,Radio_Total,Township,MIMU_code
 Urban,515,608,1123,Htilin,MMR009024
 Rural,5637,3772,9409,Htilin,MMR009024
 Total,6152,4380,10532,Htilin,MMR009024
 Urban,628,633,1261,Saw,MMR009025
 Rural,4347,2717,7064,Saw,MMR009025
 Total,4975,3350,8325,Saw,MMR009025
 Urban,656,484,1140,Kyaukhtu(ST),MMR009025
 Rural,4204,2265,6469,Kyaukhtu(ST),MMR009025
 Total,4860,2749,7609,Kyaukhtu(ST),MMR009025
 Urban,11630,38101,49731,Aungmyetharzan,MMR010001
 Total,11630,38101,49731,Aungmyetharzan,MMR010001
 Urban,8165,25116,33281,Chanayeharzan,MMR010002
 Total,8165,25116,33281,Chanayeharzan,MMR010002
 Urban,9164,32763,41927,Mahaaungmye,MMR010003
 Total,9164,32763,41927,Mahaaungmye,MMR010003
 Urban,12187,40860,53047,Chanmyatharzi,MMR010004
 Total,12187,40860,53047,Chanmyatharzi,MMR010004
 Urban,9954,33921,43875,Pyigyidagun,MMR010005
 Total,9954,33921,43875,Pyigyidagun,MMR010005
 Urban,3821,12809,16630,Amarapura,MMR010006
 Rural,11575,21421,32996,Amarapura,MMR010006
 Total,15396,34230,49626,Amarapura,MMR010006
 Urban,911,1791,2702,Patheingyi,MMR010007
 Rural,17420,32868,50288,Patheingyi,MMR010007
 Total,18331,34659,52990,Patheingyi,MMR010007
 Urban,9242,22699,31941,Pyin Oo Lwin,MMR010008
 Rural,8958,12483,21441,Pyin Oo Lwin,MMR010008
 Total,18200,35182,53382,Pyin Oo Lwin,MMR010008
 Urban,1529,3782,5311,Madaya,MMR010009
 Rural,22409,30925,53334,Madaya,MMR010009
 Total,23938,34707,58645,Madaya,MMR010009
 Urban,419,1313,1732,Sinku,MMR010010
 Rural,12154,20647,32801,Sinku,MMR010010
 Total,12573,21960,34533,Sinku,MMR010010
 Urban,3807,12879,16686,Mogok,MMR010011
 Rural,5412,13149,18561,Mogok,MMR010011
 Total,9219,26028,35247,Mogok,MMR010011
 Urban,308,880,1188,Thabeikkyin,MMR010012
 Rural,7580,16981,24561,Thabeikkyin,MMR010012
 Total,7888,17861,25749,Thabeikkyin,MMR010012
 Urban,485,1308,1793,Tagaung,MMR010012
 Rural,1631,3968,5599,Tagaung,MMR010012
 Total,2116,5276,7392,Tagaung,MMR010012
 Urban,2072,6419,8491,Kyaukse,MMR010013
 Rural,18714,30560,49274,Kyaukse,MMR010013
 Total,20786,36979,57765,Kyaukse,MMR010013
 Urban,566,1214,1780,Singaing,MMR010014
 Rural,12084,19715,31799,Singaing,MMR010014
 Total,12650,20929,33579,Singaing,MMR010014
 Urban,1350,2996,4346,Myitthar,MMR010015
 Rural,16497,25174,41671,Myitthar,MMR010015
 Total,17847,28170,46017,Myitthar,MMR010015
 Urban,846,1806,2652,Tada U,MMR010016
 Rural,14600,15375,29975,Tada U,MMR010016
 Total,15446,17181,32627,Tada U,MMR010016
 Urban,4731,14166,18897,Myingyan,MMR010017
 Rural,22070,21373,43443,Myingyan,MMR010017
 Total,26801,35539,62340,Myingyan,MMR010017
 Urban,1583,2280,3863,Taungtha,MMR010018
 Rural,25074,20915,45989,Taungtha,MMR010018
 Total,26657,23195,49852,Taungtha,MMR010018
 Urban,890,1952,2842,Natogyi,MMR010019
 Rural,19335,18788,38123,Natogyi,MMR010019
 Total,20225,20740,40965,Natogyi,MMR010019
 Urban,3678,5335,9013,Kyaukpadaung,MMR010020
 Rural,28431,24517,52948,Kyaukpadaung,MMR010020
 Total,32109,29852,61961,Kyaukpadaung,MMR010020
 Urban,528,1129,1657,Ngazun,MMR010021
 Rural,13354,12827,26181,Ngazun,MMR010021
 Total,13882,13956,27838,Ngazun,MMR010021
 Urban,2812,6703,9515,Nyaung U,MMR010022
 Rural,18499,16648,35147,Nyaung U,MMR010022
 Total,21311,23351,44662,Nyaung U,MMR010022
 Urban,1933,3394,5327,Yame`thin,MMR010023
 Rural,27835,24097,51932,Yame`thin,MMR010023
 Total,29768,27491,57259,Yame`thin,MMR010023
 Urban,2034,4840,6874,Pyawbwe,MMR010024
 Rural,26602,25387,51989,Pyawbwe,MMR010024
 Total,28636,30227,58863,Pyawbwe,MMR010024
 Urban,7892,16071,23963,Meiktila,MMR010028
 Rural,22355,22121,44476,Meiktila,MMR010028
 Total,30247,38192,68439,Meiktila,MMR010028
 Urban,1266,3454,4720,Thazi,MMR010030
 Rural,19153,21019,40172,Thazi,MMR010030
 Total,20419,24473,44892,Thazi,MMR010030
 Urban,2117,5183,7300,Wundwin,MMR010031
 Rural,22823,23446,46269,Wundwin,MMR010031
 Total,24940,28629,53569,Wundwin,MMR010031
 Urban,12578,37156,49734,Mawlamyine,MMR011001
 Rural,2734,4989,7723,Mawlamyine,MMR011001
 Total,15312,42145,57457,Mawlamyine,MMR011001
 Urban,475,1701,2176,Kyaikemaraw,MMR011002
 Rural,10055,26657,36712,Kyaikemaraw,MMR011002
 Total,10530,28358,38888,Kyaikemaraw,MMR011002
 Urban,930,814,1744,Chaungzon,MMR011003
 Rural,12796,13404,26200,Chaungzon,MMR011003
 Total,13726,14218,27944,Chaungzon,MMR011003
 Urban,3179,8536,11715,Thanbyuzayat,MMR011004
 Rural,8198,16321,24519,Thanbyuzayat,MMR011004
 Total,11377,24857,36234,Thanbyuzayat,MMR011004
 Urban,3444,7348,10792,Mudon,MMR011005
 Rural,11394,17126,28520,Mudon,MMR011005
 Total,14838,24474,39312,Mudon,MMR011005
 Urban,1524,4589,6113,Ye,MMR011006
 Rural,5761,18117,23878,Ye,MMR011006
 Total,7285,22706,29991,Ye,MMR011006
 Urban,1156,1811,2967,Lamine,MMR011006
 Rural,5331,10341,15672,Lamine,MMR011006
 Total,6487,12152,18639,Lamine,MMR011006
 Urban,162,616,778,Khawzar,MMR011006
 Rural,659,3381,4040,Khawzar,MMR011006
 Total,821,3997,4818,Khawzar,MMR011006
 Urban,2214,8492,10706,Thaton,MMR011007
 Rural,13923,23655,37578,Thaton,MMR011007
 Total,16137,32147,48284,Thaton,MMR011007
 Urban,1696,4206,5902,Paung,MMR011008
 Rural,14164,23660,37824,Paung,MMR011008
 Total,15860,27866,43726,Paung,MMR011008
 Urban,1471,6045,7516,Kyaikto,MMR011009
 Rural,10741,19831,30572,Kyaikto,MMR011009
 Total,12212,25876,38088,Kyaikto,MMR011009
 Urban,948,3096,4044,Bilin,MMR011010
 Rural,12180,23007,35187,Bilin,MMR011010
 Total,13128,26103,39231,Bilin,MMR011010
 Urban,6502,12404,18906,Sittway,MMR012001
 Rural,3054,7076,10130,Sittway,MMR012001
 Total,9556,19480,29036,Sittway,MMR012001
 Urban,863,1603,2466,Ponnagyun,MMR012002
 Rural,5718,17151,22869,Ponnagyun,MMR012002
 Total,6581,18754,25335,Ponnagyun,MMR012002
 Urban,915,1555,2470,Pauktaw,MMR012007
 Rural,6426,21648,28074,Pauktaw,MMR012007
 Total,7341,23203,30544,Pauktaw,MMR012007
 Urban,560,950,1510,Yethedaung,MMR012008
 Rural,6839,15992,22831,Yethedaung,MMR012008
 Total,7399,16942,24341,Yethedaung,MMR012008
 Urban,2362,4912,7274,Myauk U,MMR012003
 Rural,8941,25310,34251,Myauk U,MMR012003
 Total,11303,30222,41525,Myauk U,MMR012003
 Urban,1577,2262,3839,Kyauktaw,MMR012004
 Rural,9678,22978,32656,Kyauktaw,MMR012004
 Total,11255,25240,36495,Kyauktaw,MMR012004
 Urban,1494,3121,4615,Minbya,MMR012005
 Rural,7433,24580,32013,Minbya,MMR012005
 Total,8927,27701,36628,Minbya,MMR012005
 Urban,988,1630,2618,Myebon,MMR012006
 Rural,8624,20097,28721,Myebon,MMR012006
 Total,9612,21727,31339,Myebon,MMR012006
 Urban,853,1461,2314,Maungtaw,MMR012009
 Rural,1185,3891,5076,Maungtaw,MMR012009
 Total,2038,5352,7390,Maungtaw,MMR012009
 Urban,767,1295,2062,Buthidaung,MMR012010
 Rural,2330,6872,9202,Buthidaung,MMR012010
 Total,3097,8167,11264,Buthidaung,MMR012010
 Urban,34,124,158,Taungpyoletwe(ST),MMR012009
 Rural,24,324,348,Taungpyoletwe(ST),MMR012009
 Total,58,448,506,Taungpyoletwe(ST),MMR012009
 Urban,1255,2999,4254,Kyaukpyu,MMR012011
 Rural,8232,24778,33010,Kyaukpyu,MMR012011
 Total,9487,27777,37264,Kyaukpyu,MMR012011
 Urban,462,844,1306,Mannaung,MMR017011
 Rural,4984,8445,13429,Mannaung,MMR017011
 Total,5446,9289,14735,Mannaung,MMR017011
 Urban,1012,1236,2248,Yanbye,MMR012013
 Rural,5733,14437,20170,Yanbye,MMR012013
 Total,6745,15673,22418,Yanbye,MMR012013
 Urban,556,1322,1878,An,MMR012014
 Rural,6452,19029,25481,An,MMR012014
 Total,7008,20351,27359,An,MMR012014
 Urban,1531,1819,3350,Thandwe,MMR012015
 Rural,13359,14366,27725,Thandwe,MMR012015
 Total,14890,16185,31075,Thandwe,MMR012015
 Urban,2117,4061,6178,Toungup,MMR012016
 Rural,7904,11157,19061,Toungup,MMR012016
 Total,10021,15218,25239,Toungup,MMR012016
 Urban,907,1581,2488,Gwa,MMR012017
 Rural,3749,5008,8757,Gwa,MMR012017
 Total,4656,6589,11245,Gwa,MMR012017
 Urban,396,819,1215,Maei(ST),MMR012016
 Rural,3300,5438,8738,Maei(ST),MMR012016
 Total,3696,6257,9953,Maei(ST),MMR012016
 Urban,775,700,1475,Kyeintali(ST),MMR012017
 Rural,2326,2280,4606,Kyeintali(ST),MMR012017
 Total,3101,2980,6081,Kyeintali(ST),MMR012017
 Urban,23395,38281,61676,Insein,MMR013001
 Total,23395,38281,61676,Insein,MMR013001
 Urban,6154,35487,41641,Mingaladon,MMR013002
 Rural,3261,21401,24662,Mingaladon,MMR013002
 Total,9415,56888,66303,Mingaladon,MMR013002
 Urban,1091,4851,5942,Hmawby,MMR013003
 Rural,11738,38789,50527,Hmawby,MMR013003
 Total,12829,43640,56469,Hmawby,MMR013003
 Urban,1788,6961,8749,Hlegu,MMR013004
 Rural,12526,36748,49274,Hlegu,MMR013004
 Total,14314,43709,58023,Hlegu,MMR013004
 Urban,4027,16332,20359,Taikkyi,MMR013005
 Rural,15539,31101,46640,Taikkyi,MMR013005
 Total,19566,47433,66999,Taikkyi,MMR013005
 Urban,326,1730,2056,Htantabin,MMR013006
 Rural,8712,23443,32155,Htantabin,MMR013006
 Total,9038,25173,34211,Htantabin,MMR013006
 Urban,13405,45106,58511,Shwepyitha,MMR013007
 Rural,2395,12869,15264,Shwepyitha,MMR013007
 Total,15800,57975,73775,Shwepyitha,MMR013007
 Urban,10053,93754,103807,Hlinethaya,MMR013008
 Rural,5376,39528,44904,Hlinethaya,MMR013008
 Total,15429,133282,148711,Hlinethaya,MMR013008
 Urban,8478,34842,43320,Thingangyun,MMR013009
 Total,8478,34842,43320,Thingangyun,MMR013009
 Urban,5542,9095,14637,Yankin,MMR013010
 Total,5542,9095,14637,Yankin,MMR013010
 Urban,6334,26391,32725,South Okkalapa,MMR013011
 Total,6334,26391,32725,South Okkalapa,MMR013011
 Urban,10320,54436,64756,North Okkalapa,MMR013012
 Total,10320,54436,64756,North Okkalapa,MMR013012
 Urban,5523,39933,45456,Thakayta,MMR013013
 Total,5523,39933,45456,Thakayta,MMR013013
 Urban,2060,12349,14409,Dawbon,MMR013014
 Total,2060,12349,14409,Dawbon,MMR013014
 Urban,9266,26094,35360,Tamway,MMR013015
 Total,9266,26094,35360,Tamway,MMR013015
 Urban,2719,7587,10306,Pazuntaung,MMR013016
 Total,2719,7587,10306,Pazuntaung,MMR013016
 Urban,3444,4953,8397,Botahtaung,MMR013017
 Total,3444,4953,8397,Botahtaung,MMR013017
 Urban,13243,63741,76984,Dagon Myothit(South),MMR013018
 Total,13243,63741,76984,Dagon Myothit(South),MMR013018
 Urban,13417,29287,42704,Dagon Myothit(North),MMR013019
 Total,13417,29287,42704,Dagon Myothit(North),MMR013019
 Urban,10964,20931,31895,Dagon Myothit(East),MMR013020
 Rural,727,1291,2018,Dagon Myothit(East),MMR013020
 Total,11691,22222,33913,Dagon Myothit(East),MMR013020
 Urban,7755,26417,34172,Dagon Myothit(Seik),MMR013021
 Rural,856,2877,3733,Dagon Myothit(Seik),MMR013021
 Total,8611,29294,37905,Dagon Myothit(Seik),MMR013021
 Urban,4362,21556,25918,Mingala Taungnyunt,MMR013022
 Total,4362,21556,25918,Mingala Taungnyunt,MMR013022
 Urban,2680,16029,18709,Thanlyin,MMR013023
 Rural,9727,33161,42888,Thanlyin,MMR013023
 Total,12407,49190,61597,Thanlyin,MMR013023
 Urban,1716,8148,9864,Kyauktan,MMR013024
 Rural,8623,14489,23112,Kyauktan,MMR013024
 Total,10339,22637,32976,Kyauktan,MMR013024
 Urban,1252,5504,6756,Thongwa,MMR013025
 Rural,12698,20633,33331,Thongwa,MMR013025
 Total,13950,26137,40087,Thongwa,MMR013025
 Urban,1426,6452,7878,Khayan,MMR013026
 Rural,13930,17506,31436,Khayan,MMR013026
 Total,15356,23958,39314,Khayan,MMR013026
 Urban,3770,5427,9197,Twantay,MMR013027
 Rural,16599,25806,42405,Twantay,MMR013027
 Total,20369,31233,51602,Twantay,MMR013027
 Urban,622,1609,2231,Kawhmu,MMR013028
 Rural,11133,16428,27561,Kawhmu,MMR013028
 Total,11755,18037,29792,Kawhmu,MMR013028
 Urban,912,3046,3958,Kungyangon,MMR013029
 Rural,9319,15075,24394,Kungyangon,MMR013029
 Total,10231,18121,28352,Kungyangon,MMR013029
 Urban,3036,22295,25331,Dala,MMR013030
 Rural,3748,8833,12581,Dala,MMR013030
 Total,6784,31128,37912,Dala,MMR013030
 Urban,143,208,351,Cocogyun,MMR013032
 Total,143,208,351,Cocogyun,MMR013032
 Urban,762,1728,2490,Tada(ST),MMR013024
 Rural,3419,3584,7003,Tada(ST),MMR013024
 Total,4181,5312,9493,Tada(ST),MMR013024
 Urban,1396,4724,6120,Kyauktada,MMR013033
 Total,1396,4724,6120,Kyauktada,MMR013033
 Urban,1282,5281,6563,Pabedan,MMR013034
 Total,1282,5281,6563,Pabedan,MMR013034
 Urban,2159,6440,8599,Lanmadaw,MMR013035
 Total,2159,6440,8599,Lanmadaw,MMR013035
 Urban,1211,3262,4473,Latha,MMR013036
 Total,1211,3262,4473,Latha,MMR013036
 Urban,7173,3770,10943,Ahlon,MMR013037
 Total,7173,3770,10943,Ahlon,MMR013037
 Urban,13837,9225,23062,Kyimyindine,MMR013038
 Total,13837,9225,23062,Kyimyindine,MMR013038
 Urban,9940,10695,20635,Sangyoung,MMR013039
 Total,9940,10695,20635,Sangyoung,MMR013039
 Urban,17926,14911,32837,Hline,MMR013040
 Total,17926,14911,32837,Hline,MMR013040
 Urban,6304,9995,16299,Kamayut,MMR013041
 Total,6304,9995,16299,Kamayut,MMR013041
 Urban,10936,27871,38807,Mayangon,MMR013042
 Total,10936,27871,38807,Mayangon,MMR013042
 Urban,1506,3102,4608,Dagon,MMR013043
 Total,1506,3102,4608,Dagon,MMR013043
 Urban,5201,12225,17426,Bahan,MMR013044
 Total,5201,12225,17426,Bahan,MMR013044
 Urban,59,351,410,Seikkan,MMR013045
 Total,59,351,410,Seikkan,MMR013045
 Urban,22755,33893,56648,Taunggyi,MMR014001
 Rural,7421,18535,25956,Taunggyi,MMR014001
 Total,30176,52428,82604,Taunggyi,MMR014001
 Urban,1243,1816,3059,Nyaungshwe,MMR014002
 Rural,12558,27017,39575,Nyaungshwe,MMR014002
 Total,13801,28833,42634,Nyaungshwe,MMR014002
 Urban,1327,3209,4536,Hopon,MMR014003
 Rural,3756,16436,20192,Hopon,MMR014003
 Total,5083,19645,24728,Hopon,MMR014003
 Urban,1306,1343,2649,Hsihseng,MMR014004
 Rural,6781,23341,30122,Hsihseng,MMR014004
 Total,8087,24684,32771,Hsihseng,MMR014004
 Urban,3428,9170,12598,Kalaw,MMR014005
 Rural,8179,20564,28743,Kalaw,MMR014005
 Total,11607,29734,41341,Kalaw,MMR014005
 Urban,929,1330,2259,Pindaya,MMR014006
 Rural,6395,8890,15285,Pindaya,MMR014006
 Total,7324,10220,17544,Pindaya,MMR014006
 Urban,325,830,1155,Ywarngan,MMR014007
 Rural,8565,8628,17193,Ywarngan,MMR014007
 Total,8890,9458,18348,Ywarngan,MMR014007
 Urban,1652,4025,5677,Yatsauk,MMR014008
 Rural,8396,11884,20280,Yatsauk,MMR014008
 Total,10048,15909,25957,Yatsauk,MMR014008
 Urban,632,2138,2770,Pinlaung,MMR014009
 Rural,5276,17458,22734,Pinlaung,MMR014009
 Total,5908,19596,25504,Pinlaung,MMR014009
 Urban,1091,2340,3431,Phekon,MMR014010
 Rural,5308,11345,16653,Phekon,MMR014010
 Total,6399,13685,20084,Phekon,MMR014010
 Urban,99,503,602,Kyauktalongyi(ST),MMR014001
 Rural,2026,9637,11663,Kyauktalongyi(ST),MMR014001
 Total,2125,10140,12265,Kyauktalongyi(ST),MMR014001
 Urban,513,1323,1836,Indaw(ST),MMR014008
 Rural,2532,3782,6314,Indaw(ST),MMR014008
 Total,3045,5105,8150,Indaw(ST),MMR014008
 Urban,156,823,979,Naungtayar(ST),MMR014009
 Rural,1965,13635,15600,Naungtayar(ST),MMR014009
 Total,2121,14458,16579,Naungtayar(ST),MMR014009
 Urban,649,2204,2853,Loilem,MMR014011
 Rural,909,7139,8048,Loilem,MMR014011
 Total,1558,9343,10901,Loilem,MMR014011
 Urban,395,935,1330,Le`char,MMR014012
 Rural,953,6507,7460,Le`char,MMR014012
 Total,1348,7442,8790,Le`char,MMR014012
 Urban,700,4141,4841,Nanhsam(South),MMR014013
 Rural,3148,10874,14022,Nanhsam(South),MMR014013
 Total,3848,15015,18863,Nanhsam(South),MMR014013
 Urban,356,1186,1542,Kunhing,MMR014014
 Rural,382,2646,3028,Kunhing,MMR014014
 Total,738,3832,4570,Kunhing,MMR014014
 Urban,372,470,842,Kehsi,MMR014015
 Rural,2019,6040,8059,Kehsi,MMR014015
 Total,2391,6510,8901,Kehsi,MMR014015
 Urban,600,1619,2219,Mongkai,MMR014016
 Rural,1960,12153,14113,Mongkai,MMR014016
 Total,2560,13772,16332,Mongkai,MMR014016
 Urban,613,1470,2083,Mineshu,MMR014017
 Rural,1558,5560,7118,Mineshu,MMR014017
 Total,2171,7030,9201,Mineshu,MMR014017
 Urban,806,4418,5224,Panglong(ST),MMR014011
 Rural,994,8298,9292,Panglong(ST),MMR014011
 Total,1800,12716,14516,Panglong(ST),MMR014011
 Urban,304,1444,1748,Kholan(ST),MMR014013
 Rural,492,2124,2616,Kholan(ST),MMR014013
 Total,796,3568,4364,Kholan(ST),MMR014013
 Urban,269,1396,1665,Karli(ST),MMR014014
 Rural,859,4043,4902,Karli(ST),MMR014014
 Total,1128,5439,6567,Karli(ST),MMR014014
 Urban,115,637,752,Minenaung(ST),MMR014015
 Rural,881,4178,5059,Minenaung(ST),MMR014015
 Total,996,4815,5811,Minenaung(ST),MMR014015
 Urban,122,385,507,Minesan(Monsan)(ST),MMR014017
 Rural,1512,4647,6159,Minesan(Monsan)(ST),MMR014017
 Total,1634,5032,6666,Minesan(Monsan)(ST),MMR014017
 Urban,368,1350,1718,Linkhe`,MMR014018
 Rural,1540,5130,6670,Linkhe`,MMR014018
 Total,1908,6480,8388,Linkhe`,MMR014018
 Urban,336,1767,2103,Mone`,MMR014019
 Rural,800,3321,4121,Mone`,MMR014019
 Total,1136,5088,6224,Mone`,MMR014019
 Urban,213,979,1192,Maukme`,MMR014020
 Rural,488,5514,6002,Maukme`,MMR014020
 Total,701,6493,7194,Maukme`,MMR014020
 Urban,360,1599,1959,Minepan,MMR014021
 Rural,880,2582,3462,Minepan,MMR014021
 Total,1240,4181,5421,Minepan,MMR014021
 Urban,357,317,674,Homane(ST),MMR014018
 Rural,215,271,486,Homane(ST),MMR014018
 Total,572,588,1160,Homane(ST),MMR014018
 Urban,387,1710,2097,Kengtaung(ST),MMR014019
 Rural,17,147,164,Kengtaung(ST),MMR014019
 Total,404,1857,2261,Kengtaung(ST),MMR014019
 Urban,8944,25155,34099,Lashio,MMR015001
 Rural,6363,24470,30833,Lashio,MMR015001
 Total,15307,49625,64932,Lashio,MMR015001
 Urban,394,1529,1923,Theinni,MMR015002
 Rural,2637,7219,9856,Theinni,MMR015002
 Total,3031,8748,11779,Theinni,MMR015002
 Urban,397,1073,1470,Mineye`,MMR015003
 Rural,1848,10010,11858,Mineye`,MMR015003
 Total,2245,11083,13328,Mineye`,MMR015003
 Urban,1594,5214,6808,Tantyan,MMR015004
 Rural,6273,22061,28334,Tantyan,MMR015004
 Total,7867,27275,35142,Tantyan,MMR015004
 Urban,2437,10897,13334,MuSe,MMR015009
 Rural,1470,7410,8880,MuSe,MMR015009
 Total,3907,18307,22214,MuSe,MMR015009
 Urban,1017,5115,6132,Namkham,MMR015010
 Rural,1874,13411,15285,Namkham,MMR015010
 Total,2891,18526,21417,Namkham,MMR015010
 Urban,1074,3609,4683,Kukai,MMR015011
 Rural,3469,10879,14348,Kukai,MMR015011
 Total,4543,14488,19031,Kukai,MMR015011
 Urban,74,1395,1469,Monekoe(ST),MMR015009
 Rural,312,2577,2889,Monekoe(ST),MMR015009
 Total,386,3972,4358,Monekoe(ST),MMR015009
 Urban,14,332,346,Manhero(ST),MMR015009
 Rural,72,1225,1297,Manhero(ST),MMR015009
 Total,86,1557,1643,Manhero(ST),MMR015009
 Urban,96,1672,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,444,2331,2775,Pansai(KyuKute)(ST),MMR015009
 Total,540,4003,4543,Pansai(KyuKute)(ST),MMR015009
 Urban,273,2214,2487,Tamoenye(ST),MMR015011
 Rural,1943,8619,10562,Tamoenye(ST),MMR015011
 Total,2216,10833,13049,Tamoenye(ST),MMR015011
 Urban,1284,7369,8653,Kyukme,MMR015012
 Rural,4701,15017,19718,Kyukme,MMR015012
 Total,5985,22386,28371,Kyukme,MMR015012
 Urban,1269,2902,4171,Naungkhio,MMR015013
 Rural,9988,18065,28053,Naungkhio,MMR015013
 Total,11257,20967,32224,Naungkhio,MMR015013
 Urban,1090,2919,4009,Hsipaw,MMR015014
 Rural,6420,27477,33897,Hsipaw,MMR015014
 Total,7510,30396,37906,Hsipaw,MMR015014
 Urban,789,2468,3257,Namtu,MMR015015
 Rural,2005,6379,8384,Namtu,MMR015015
 Total,2794,8847,11641,Namtu,MMR015015
 Urban,208,727,935,Namsan(North),MMR015016
 Rural,2951,9799,12750,Namsan(North),MMR015016
 Total,3159,10526,13685,Namsan(North),MMR015016
 Urban,564,1669,2233,Momeik,MMR015017
 Rural,3343,8076,11419,Momeik,MMR015017
 Total,3907,9745,13652,Momeik,MMR015017
 Urban,247,467,714,Mabane,MMR015018
 Rural,3633,4285,7918,Mabane,MMR015018
 Total,3880,4752,8632,Mabane,MMR015018
 Urban,98,681,779,Manton,MMR015019
 Rural,1395,5509,6904,Manton,MMR015019
 Total,1493,6190,7683,Manton,MMR015019
 Urban,112,501,613,Minengaw(ST),MMR015012
 Rural,606,2810,3416,Minengaw(ST),MMR015012
 Total,718,3311,4029,Minengaw(ST),MMR015012
 Urban,181,405,586,Minelon(ST),MMR015012
 Rural,1136,4134,5270,Minelon(ST),MMR015012
 Total,1317,4539,5856,Minelon(ST),MMR015012
 Urban,280,878,1158,Kunlon,MMR015020
 Rural,987,8247,9234,Kunlon,MMR015020
 Total,1267,9125,10392,Kunlon,MMR015020
 Urban,378,2563,2941,Laukine,MMR015022
 Rural,380,10910,11290,Laukine,MMR015022
 Total,758,13473,14231,Laukine,MMR015022
 Urban,69,125,194,Kongyan,MMR015023
 Rural,46,5222,5268,Kongyan,MMR015023
 Total,115,5347,5462,Kongyan,MMR015023
 Urban,33,586,619,Chinshwehaw(ST),MMR015022
 Rural,1,330,331,Chinshwehaw(ST),MMR015022
 Total,34,916,950,Chinshwehaw(ST),MMR015022
 Urban,9,76,85,Mawhtike(ST),MMR015023
 Rural,24,4094,4118,Mawhtike(ST),MMR015023
 Total,33,4170,4203,Mawhtike(ST),MMR015023
 Urban,527,2851,3378,Hopan,MMR015021
 Rural,753,5900,6653,Hopan,MMR015021
 Total,1280,8751,10031,Hopan,MMR015021
 Urban,231,622,853,Minemaw,MMR015008
 Rural,1023,8569,9592,Minemaw,MMR015008
 Total,1254,9191,10445,Minemaw,MMR015008
 Urban,82,387,469,Panwine,MMR015007
 Rural,983,12517,13500,Panwine,MMR015007
 Total,1065,12904,13969,Panwine,MMR015007
 Urban,78,583,661,Panlon(ST),MMR015021
 Rural,74,450,524,Panlon(ST),MMR015021
 Total,152,1033,1185,Panlon(ST),MMR015021
 Urban,33,34,67,Makman,MMR015024
 Rural,777,2474,3251,Makman,MMR015024
 Total,810,2508,3318,Makman,MMR015024
 Urban,215,1807,2022,Pan San(Pan Kham),MMR015005
 Rural,1358,12762,14120,Pan San(Pan Kham),MMR015005
 Total,1573,14569,16142,Pan San(Pan Kham),MMR015005
 Urban,30,125,155,Naphang,MMR015006
 Rural,1210,15109,16319,Naphang,MMR015006
 Total,1240,15234,16474,Naphang,MMR015006
 Urban,16,65,81,ManKan(ST),MMR015005
 Rural,9,225,234,ManKan(ST),MMR015005
 Total,25,290,315,ManKan(ST),MMR015005
 Urban,3363,5739,9102,Kengtung,MMR016001
 Rural,5758,19236,24994,Kengtung,MMR016001
 Total,9121,24975,34096,Kengtung,MMR016001
 Urban,217,341,558,Minekat,MMR016002
 Rural,420,7047,7467,Minekat,MMR016002
 Total,637,7388,8025,Minekat,MMR016002
 Urban,170,819,989,Mineyan,MMR016003
 Rural,556,8574,9130,Mineyan,MMR016003
 Total,726,9393,10119,Mineyan,MMR016003
 Urban,174,1386,1560,Minelar,MMR016005
 Rural,254,3394,3648,Minelar,MMR016005
 Total,428,4780,5208,Minelar,MMR016005
 Rural,675,8610,9285,Mine Pauk(ST),MMR016003
 Total,675,8610,9285,Mine Pauk(ST),MMR016003
 Urban,340,1221,1561,Minesat,MMR016006
 Rural,1373,12975,14348,Minesat,MMR016006
 Total,1713,14196,15909,Minesat,MMR016006
 Urban,350,983,1333,Minepyin,MMR016007
 Rural,1367,7905,9272,Minepyin,MMR016007
 Total,1717,8888,10605,Minepyin,MMR016007
 Urban,299,820,1119,Minetung,MMR016008
 Rural,525,2614,3139,Minetung,MMR016008
 Total,824,3434,4258,Minetung,MMR016008
 Urban,134,150,284,Minekoke(ST),MMR016006
 Rural,432,2486,2918,Minekoke(ST),MMR016006
 Total,566,2636,3202,Minekoke(ST),MMR016006
 Urban,166,261,427,Tontar(ST),MMR016007
 Rural,229,2038,2267,Tontar(ST),MMR016007
 Total,395,2299,2694,Tontar(ST),MMR016007
 Urban,114,607,721,Ponparkyin(ST),MMR016008
 Rural,605,6008,6613,Ponparkyin(ST),MMR016008
 Total,719,6615,7334,Ponparkyin(ST),MMR016008
 Urban,31,60,91,Monehta(ST),MMR016008
 Rural,60,778,838,Monehta(ST),MMR016008
 Total,91,838,929,Monehta(ST),MMR016008
 Urban,3623,7471,11094,Tachileik,MMR016009
 Rural,7706,12379,20085,Tachileik,MMR016009
 Total,11329,19850,31179,Tachileik,MMR016009
 Urban,505,368,873,Talay(ST),MMR016009
 Rural,1374,1771,3145,Talay(ST),MMR016009
 Total,1879,2139,4018,Talay(ST),MMR016009
 Urban,80,682,762,Kenglat(ST),MMR016009
 Rural,491,1223,1714,Kenglat(ST),MMR016009
 Total,571,1905,2476,Kenglat(ST),MMR016009
 Urban,693,630,1323,Minephyat,MMR016010
 Rural,1804,3038,4842,Minephyat,MMR016010
 Total,2497,3668,6165,Minephyat,MMR016010
 Urban,281,909,1190,Mineyaung,MMR016011
