Urban_Rural,Radio_Yes,Radio_No,Radio_Total,Township,MIMU_code
 Rural,2886,14085,16971,Paingkyon(ST),MMR003002
 Total,3052,14726,17778,Paingkyon(ST),MMR003002
 Urban,5,78,83,Shan Ywathit(ST),MMR003002
 Rural,279,3394,3673,Shan Ywathit(ST),MMR003002
 Total,284,3472,3756,Shan Ywathit(ST),MMR003002
 Urban,240,367,607,Leiktho(ST),MMR003004
 Rural,2497,6822,9319,Leiktho(ST),MMR003004
 Total,2737,7189,9926,Leiktho(ST),MMR003004
 Urban,171,265,436,Bawgali(ST),MMR003004
 Rural,1162,1807,2969,Bawgali(ST),MMR003004
 Total,1333,2072,3405,Bawgali(ST),MMR003004
 Urban,218,415,633,Pharpon,MMR003003
 Rural,479,1432,1911,Pharpon,MMR003003
 Total,697,1847,2544,Pharpon,MMR003003
 Urban,757,1992,2749,Kamamaung(ST},MMR003003
 Rural,172,1037,1209,Kamamaung(ST},MMR003003
 Total,929,3029,3958,Kamamaung(ST},MMR003003
 Urban,3419,20597,24016,Myawady,MMR003005
 Rural,3691,13551,17242,Myawady,MMR003005
 Total,7110,34148,41258,Myawady,MMR003005
 Urban,16,59,75,Sugali(ST),MMR003005
 Rural,55,931,986,Sugali(ST),MMR003005
 Total,71,990,1061,Sugali(ST),MMR003005
 Urban,56,521,577,Wawlaymyaing(ST),MMR003005
 Rural,146,974,1120,Wawlaymyaing(ST),MMR003005
 Total,202,1495,1697,Wawlaymyaing(ST),MMR003005
 Urban,2987,5495,8482,Kawkareik,MMR003006
 Rural,9927,27089,37016,Kawkareik,MMR003006
 Total,12914,32584,45498,Kawkareik,MMR003006
 Urban,611,1206,1817,Kyarinseikkyi,MMR003007
 Rural,6132,14091,20223,Kyarinseikkyi,MMR003007
 Total,6743,15297,22040,Kyarinseikkyi,MMR003007
 Urban,286,5810,6096,Payarthonezu(ST),MMR003007
 Rural,1752,9947,11699,Payarthonezu(ST),MMR003007
 Total,2038,15757,17795,Payarthonezu(ST),MMR003007
 Urban,176,504,680,Kyaidon(ST),MMR003007
 Rural,1047,9006,10053,Kyaidon(ST),MMR003007
 Total,1223,9510,10733,Kyaidon(ST),MMR003007
 Urban,1205,4016,5221,HaKa,MMR004002
 Rural,622,4074,4696,HaKa,MMR004002
 Total,1827,8090,9917,HaKa,MMR004002
 Urban,379,1128,1507,Thantlang,MMR004003
 Rural,1399,6876,8275,Thantlang,MMR004003
 Total,1778,8004,9782,Thantlang,MMR004003
 Urban,498,1504,2002,Falam,MMR004001
 Rural,1020,5406,6426,Falam,MMR004001
 Total,1518,6910,8428,Falam,MMR004001
 Urban,549,1701,2250,Tedim,MMR004004
 Rural,2018,10415,12433,Tedim,MMR004004
 Total,2567,12116,14683,Tedim,MMR004004
 Urban,115,525,640,Tonzaung,MMR004005
 Rural,331,2440,2771,Tonzaung,MMR004005
 Total,446,2965,3411,Tonzaung,MMR004005
