Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,383,481,864,Bawlakhe,MMR002005
 Grade 1,214,187,401,Bawlakhe,MMR002005
 Grade 2,266,203,469,Bawlakhe,MMR002005
 Grade 3,372,305,677,Bawlakhe,MMR002005
 Grade 4,411,312,723,Bawlakhe,MMR002005
 Grade 5,610,465,1075,Bawlakhe,MMR002005
 Grade 6,302,216,518,Bawlakhe,MMR002005
 Grade 7,277,176,453,Bawlakhe,MMR002005
 Grade 8,288,200,488,Bawlakhe,MMR002005
 Grade 9,295,174,469,Bawlakhe,MMR002005
 Grade 10,359,336,695,Bawlakhe,MMR002005
 Grade 11,127,104,231,Bawlakhe,MMR002005
 College,43,30,73,Bawlakhe,MMR002005
 Vocational training,14,2,16,Bawlakhe,MMR002005
 Undergraduate diploma,21,24,45,Bawlakhe,MMR002005
 Graduate,201,166,367,Bawlakhe,MMR002005
 Postgraduate diploma,2,3,5,Bawlakhe,MMR002005
 Master degree,17,1,18,Bawlakhe,MMR002005
 PhD,-,1,1,Bawlakhe,MMR002005
 Other,36,55,91,Bawlakhe,MMR002005
 Total,4238,3441,7679,Bawlakhe,MMR002005
