Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,11101,13150,24251,Thanbyuzayat,MMR011004
 Grade 1,3541,3446,6987,Thanbyuzayat,MMR011004
 Grade 2,5340,5841,11181,Thanbyuzayat,MMR011004
 Grade 3,7111,8289,15400,Thanbyuzayat,MMR011004
 Grade 4,7146,8572,15718,Thanbyuzayat,MMR011004
 Grade 5,11645,12827,24472,Thanbyuzayat,MMR011004
 Grade 6,5196,5279,10475,Thanbyuzayat,MMR011004
 Grade 7,4326,4280,8606,Thanbyuzayat,MMR011004
 Grade 8,4307,3894,8201,Thanbyuzayat,MMR011004
 Grade 9,4144,3615,7759,Thanbyuzayat,MMR011004
 Grade 10,2986,3057,6043,Thanbyuzayat,MMR011004
 Grade 11,2943,3166,6109,Thanbyuzayat,MMR011004
 College,1195,1395,2590,Thanbyuzayat,MMR011004
 Vocational training,64,48,112,Thanbyuzayat,MMR011004
 Undergraduate diploma,187,156,343,Thanbyuzayat,MMR011004
 Graduate,1888,4205,6093,Thanbyuzayat,MMR011004
 Postgraduate diploma,31,71,102,Thanbyuzayat,MMR011004
 Master degree,27,36,63,Thanbyuzayat,MMR011004
 PhD,5,6,11,Thanbyuzayat,MMR011004
 Other,615,190,805,Thanbyuzayat,MMR011004
 Total,73798,81523,155321,Thanbyuzayat,MMR011004
