Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,13674,14475,28149,Hopan,MMR015021
 Grade 1,1238,974,2212,Hopan,MMR015021
 Grade 2,1217,1052,2269,Hopan,MMR015021
 Grade 3,1373,1092,2465,Hopan,MMR015021
 Grade 4,1423,1144,2567,Hopan,MMR015021
 Grade 5,1492,1250,2742,Hopan,MMR015021
 Grade 6,1185,922,2107,Hopan,MMR015021
 Grade 7,839,684,1523,Hopan,MMR015021
 Grade 8,504,376,880,Hopan,MMR015021
 Grade 9,644,456,1100,Hopan,MMR015021
 Grade 10,451,384,835,Hopan,MMR015021
 Grade 11,348,340,688,Hopan,MMR015021
 College,155,105,260,Hopan,MMR015021
 Vocational training,12,12,24,Hopan,MMR015021
 Undergraduate diploma,30,17,47,Hopan,MMR015021
 Graduate,236,210,446,Hopan,MMR015021
 Postgraduate diploma,11,5,16,Hopan,MMR015021
 Master degree,12,1,13,Hopan,MMR015021
 PhD,-,1,1,Hopan,MMR015021
 Other,187,36,223,Hopan,MMR015021
 Total,25031,23536,48567,Hopan,MMR015021
