Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,14041,15171,29212,Pwint Phyu,MMR009008
 Grade 1,1832,1784,3616,Pwint Phyu,MMR009008
 Grade 2,2573,3315,5888,Pwint Phyu,MMR009008
 Grade 3,3881,6053,9934,Pwint Phyu,MMR009008
 Grade 4,5214,7846,13060,Pwint Phyu,MMR009008
 Grade 5,15234,19992,35226,Pwint Phyu,MMR009008
 Grade 6,4064,4356,8420,Pwint Phyu,MMR009008
 Grade 7,3634,3381,7015,Pwint Phyu,MMR009008
 Grade 8,4063,3341,7404,Pwint Phyu,MMR009008
 Grade 9,4078,3391,7469,Pwint Phyu,MMR009008
 Grade 10,3843,3064,6907,Pwint Phyu,MMR009008
 Grade 11,3523,3222,6745,Pwint Phyu,MMR009008
 College,1196,1167,2363,Pwint Phyu,MMR009008
 Vocational training,174,94,268,Pwint Phyu,MMR009008
 Undergraduate diploma,249,165,414,Pwint Phyu,MMR009008
 Graduate,1833,3339,5172,Pwint Phyu,MMR009008
 Postgraduate diploma,44,73,117,Pwint Phyu,MMR009008
 Master degree,15,96,111,Pwint Phyu,MMR009008
 PhD,2,6,8,Pwint Phyu,MMR009008
 Other,315,282,597,Pwint Phyu,MMR009008
 Total,69808,80138,149946,Pwint Phyu,MMR009008
