Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1904,1980,3884,Manhero(ST),MMR015009
 Grade 1,180,156,336,Manhero(ST),MMR015009
 Grade 2,149,151,300,Manhero(ST),MMR015009
 Grade 3,198,217,415,Manhero(ST),MMR015009
 Grade 4,147,173,320,Manhero(ST),MMR015009
 Grade 5,127,224,351,Manhero(ST),MMR015009
 Grade 6,56,88,144,Manhero(ST),MMR015009
 Grade 7,48,61,109,Manhero(ST),MMR015009
 Grade 8,30,65,95,Manhero(ST),MMR015009
 Grade 9,47,36,83,Manhero(ST),MMR015009
 Grade 10,16,26,42,Manhero(ST),MMR015009
 Grade 11,39,43,82,Manhero(ST),MMR015009
 College,9,9,18,Manhero(ST),MMR015009
 Undergraduate diploma,1,7,8,Manhero(ST),MMR015009
 Graduate,26,23,49,Manhero(ST),MMR015009
 Postgraduate diploma,2,3,5,Manhero(ST),MMR015009
 Master degree,-,1,1,Manhero(ST),MMR015009
 Total,2979,3263,6242,Manhero(ST),MMR015009
