Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,11125,12447,23572,Le`char,MMR014012
 Grade 1,1229,1008,2237,Le`char,MMR014012
 Grade 2,976,938,1914,Le`char,MMR014012
 Grade 3,1075,1141,2216,Le`char,MMR014012
 Grade 4,1035,1295,2330,Le`char,MMR014012
 Grade 5,1958,1807,3765,Le`char,MMR014012
 Grade 6,663,710,1373,Le`char,MMR014012
 Grade 7,583,642,1225,Le`char,MMR014012
 Grade 8,568,593,1161,Le`char,MMR014012
 Grade 9,705,620,1325,Le`char,MMR014012
 Grade 10,622,758,1380,Le`char,MMR014012
 Grade 11,342,389,731,Le`char,MMR014012
 College,129,157,286,Le`char,MMR014012
 Vocational training,11,17,28,Le`char,MMR014012
 Undergraduate diploma,14,20,34,Le`char,MMR014012
 Graduate,255,484,739,Le`char,MMR014012
 Postgraduate diploma,-,4,4,Le`char,MMR014012
 Master degree,7,2,9,Le`char,MMR014012
 PhD,-,1,1,Le`char,MMR014012
 Other,279,112,391,Le`char,MMR014012
 Total,21576,23145,44721,Le`char,MMR014012
