Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,10378,15753,26131,Patheingyi,MMR010007
 Grade 1,3471,3432,6903,Patheingyi,MMR010007
 Grade 2,4705,5711,10416,Patheingyi,MMR010007
 Grade 3,7125,9665,16790,Patheingyi,MMR010007
 Grade 4,10913,13319,24232,Patheingyi,MMR010007
 Grade 5,27301,29725,57026,Patheingyi,MMR010007
 Grade 6,8008,7487,15495,Patheingyi,MMR010007
 Grade 7,6643,5507,12150,Patheingyi,MMR010007
 Grade 8,7281,5235,12516,Patheingyi,MMR010007
 Grade 9,7225,4921,12146,Patheingyi,MMR010007
 Grade 10,6199,4600,10799,Patheingyi,MMR010007
 Grade 11,7236,6056,13292,Patheingyi,MMR010007
 College,2890,2448,5338,Patheingyi,MMR010007
 Vocational training,180,119,299,Patheingyi,MMR010007
 Undergraduate diploma,313,255,568,Patheingyi,MMR010007
 Graduate,4969,6730,11699,Patheingyi,MMR010007
 Postgraduate diploma,100,218,318,Patheingyi,MMR010007
 Master degree,175,442,617,Patheingyi,MMR010007
 PhD,57,117,174,Patheingyi,MMR010007
 Other,1416,916,2332,Patheingyi,MMR010007
 Total,116585,122656,239241,Patheingyi,MMR010007
