Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,14861,22347,37208,Hlinethaya,MMR013008
 Grade 1,8206,8581,16787,Hlinethaya,MMR013008
 Grade 2,9496,12276,21772,Hlinethaya,MMR013008
 Grade 3,14173,19364,33537,Hlinethaya,MMR013008
 Grade 4,24841,33692,58533,Hlinethaya,MMR013008
 Grade 5,44224,57988,102212,Hlinethaya,MMR013008
 Grade 6,24553,28981,53534,Hlinethaya,MMR013008
 Grade 7,20241,21219,41460,Hlinethaya,MMR013008
 Grade 8,24748,23761,48509,Hlinethaya,MMR013008
 Grade 9,27814,26135,53949,Hlinethaya,MMR013008
 Grade 10,29111,26634,55745,Hlinethaya,MMR013008
 Grade 11,26608,24373,50981,Hlinethaya,MMR013008
 College,9205,9364,18569,Hlinethaya,MMR013008
 Vocational training,359,179,538,Hlinethaya,MMR013008
 Undergraduate diploma,842,497,1339,Hlinethaya,MMR013008
 Graduate,13653,20339,33992,Hlinethaya,MMR013008
 Postgraduate diploma,214,359,573,Hlinethaya,MMR013008
 Master degree,129,297,426,Hlinethaya,MMR013008
 PhD,43,50,93,Hlinethaya,MMR013008
 Other,1782,1599,3381,Hlinethaya,MMR013008
 Total,295103,338035,633138,Hlinethaya,MMR013008
