Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,13106,20520,33626,Kyauktaga,MMR007006
 Grade 1,5250,5302,10552,Kyauktaga,MMR007006
 Grade 2,6584,7639,14223,Kyauktaga,MMR007006
 Grade 3,9316,11757,21073,Kyauktaga,MMR007006
 Grade 4,10676,12555,23231,Kyauktaga,MMR007006
 Grade 5,18783,21389,40172,Kyauktaga,MMR007006
 Grade 6,7948,7570,15518,Kyauktaga,MMR007006
 Grade 7,6575,5744,12319,Kyauktaga,MMR007006
 Grade 8,6628,5365,11993,Kyauktaga,MMR007006
 Grade 9,6640,5091,11731,Kyauktaga,MMR007006
 Grade 10,4587,3811,8398,Kyauktaga,MMR007006
 Grade 11,6411,5573,11984,Kyauktaga,MMR007006
 College,1336,1316,2652,Kyauktaga,MMR007006
 Vocational training,59,33,92,Kyauktaga,MMR007006
 Undergraduate diploma,197,142,339,Kyauktaga,MMR007006
 Graduate,2161,3763,5924,Kyauktaga,MMR007006
 Postgraduate diploma,39,89,128,Kyauktaga,MMR007006
 Master degree,13,23,36,Kyauktaga,MMR007006
 PhD,3,4,7,Kyauktaga,MMR007006
 Other,907,841,1748,Kyauktaga,MMR007006
 Total,107219,118527,225746,Kyauktaga,MMR007006
