Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,8454,9766,18220,Minelar,MMR016005
 Grade 1,818,499,1317,Minelar,MMR016005
 Grade 2,731,547,1278,Minelar,MMR016005
 Grade 3,888,753,1641,Minelar,MMR016005
 Grade 4,772,743,1515,Minelar,MMR016005
 Grade 5,1159,808,1967,Minelar,MMR016005
 Grade 6,1790,1751,3541,Minelar,MMR016005
 Grade 7,678,530,1208,Minelar,MMR016005
 Grade 8,1110,822,1932,Minelar,MMR016005
 Grade 9,2163,1676,3839,Minelar,MMR016005
 Grade 10,533,350,883,Minelar,MMR016005
 Grade 11,485,379,864,Minelar,MMR016005
 College,416,307,723,Minelar,MMR016005
 Vocational training,46,28,74,Minelar,MMR016005
 Undergraduate diploma,45,37,82,Minelar,MMR016005
 Graduate,127,124,251,Minelar,MMR016005
 Postgraduate diploma,17,18,35,Minelar,MMR016005
 Master degree,6,1,7,Minelar,MMR016005
 PhD,7,3,10,Minelar,MMR016005
 Other,506,102,608,Minelar,MMR016005
 Total,20751,19244,39995,Minelar,MMR016005
