Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,9549,14575,24124,Taungtha,MMR010018
 Grade 1,3071,3279,6350,Taungtha,MMR010018
 Grade 2,3841,5595,9436,Taungtha,MMR010018
 Grade 3,5630,9701,15331,Taungtha,MMR010018
 Grade 4,9120,13236,22356,Taungtha,MMR010018
 Grade 5,21592,27363,48955,Taungtha,MMR010018
 Grade 6,5451,6573,12024,Taungtha,MMR010018
 Grade 7,5062,5137,10199,Taungtha,MMR010018
 Grade 8,5087,4592,9679,Taungtha,MMR010018
 Grade 9,4879,4059,8938,Taungtha,MMR010018
 Grade 10,4540,4179,8719,Taungtha,MMR010018
 Grade 11,5225,5167,10392,Taungtha,MMR010018
 College,2017,2024,4041,Taungtha,MMR010018
 Vocational training,71,61,132,Taungtha,MMR010018
 Undergraduate diploma,284,165,449,Taungtha,MMR010018
 Graduate,2591,4652,7243,Taungtha,MMR010018
 Postgraduate diploma,73,127,200,Taungtha,MMR010018
 Master degree,21,91,112,Taungtha,MMR010018
 PhD,4,4,8,Taungtha,MMR010018
 Other,213,287,500,Taungtha,MMR010018
 Total,88321,110867,199188,Taungtha,MMR010018
