Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5571,9691,15262,Phekon,MMR014010
 Grade 1,2688,2600,5288,Phekon,MMR014010
 Grade 2,3150,2950,6100,Phekon,MMR014010
 Grade 3,3825,3567,7392,Phekon,MMR014010
 Grade 4,4134,3762,7896,Phekon,MMR014010
 Grade 5,7203,6068,13271,Phekon,MMR014010
 Grade 6,3492,2875,6367,Phekon,MMR014010
 Grade 7,2933,2239,5172,Phekon,MMR014010
 Grade 8,2679,1989,4668,Phekon,MMR014010
 Grade 9,3020,2072,5092,Phekon,MMR014010
 Grade 10,1833,1559,3392,Phekon,MMR014010
 Grade 11,2787,2925,5712,Phekon,MMR014010
 College,636,671,1307,Phekon,MMR014010
 Vocational training,92,48,140,Phekon,MMR014010
 Undergraduate diploma,108,76,184,Phekon,MMR014010
 Graduate,831,1223,2054,Phekon,MMR014010
 Postgraduate diploma,31,36,67,Phekon,MMR014010
 Master degree,32,32,64,Phekon,MMR014010
 PhD,4,-,4,Phekon,MMR014010
 Other,208,214,422,Phekon,MMR014010
 Total,45257,44597,89854,Phekon,MMR014010
