Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,6079,8581,14660,Banmauk,MMR005023
 Grade 1,2203,2242,4445,Banmauk,MMR005023
 Grade 2,3027,3169,6196,Banmauk,MMR005023
 Grade 3,4528,4837,9365,Banmauk,MMR005023
 Grade 4,5279,5234,10513,Banmauk,MMR005023
 Grade 5,12269,10818,23087,Banmauk,MMR005023
 Grade 6,3670,3083,6753,Banmauk,MMR005023
 Grade 7,2937,2368,5305,Banmauk,MMR005023
 Grade 8,2948,2178,5126,Banmauk,MMR005023
 Grade 9,2652,1916,4568,Banmauk,MMR005023
 Grade 10,1542,1270,2812,Banmauk,MMR005023
 Grade 11,1509,1482,2991,Banmauk,MMR005023
 College,708,676,1384,Banmauk,MMR005023
 Vocational training,36,29,65,Banmauk,MMR005023
 Undergraduate diploma,73,49,122,Banmauk,MMR005023
 Graduate,761,1014,1775,Banmauk,MMR005023
 Postgraduate diploma,24,32,56,Banmauk,MMR005023
 Master degree,-,6,6,Banmauk,MMR005023
 Other,49,14,63,Banmauk,MMR005023
 Total,50294,48998,99292,Banmauk,MMR005023
