Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1883,1927,3810,Kengtaung(ST),MMR014019
 Grade 1,128,140,268,Kengtaung(ST),MMR014019
 Grade 2,222,159,381,Kengtaung(ST),MMR014019
 Grade 3,230,217,447,Kengtaung(ST),MMR014019
 Grade 4,283,249,532,Kengtaung(ST),MMR014019
 Grade 5,557,348,905,Kengtaung(ST),MMR014019
 Grade 6,289,204,493,Kengtaung(ST),MMR014019
 Grade 7,189,164,353,Kengtaung(ST),MMR014019
 Grade 8,249,156,405,Kengtaung(ST),MMR014019
 Grade 9,345,187,532,Kengtaung(ST),MMR014019
 Grade 10,216,124,340,Kengtaung(ST),MMR014019
 Grade 11,308,241,549,Kengtaung(ST),MMR014019
 College,105,52,157,Kengtaung(ST),MMR014019
 Vocational training,8,1,9,Kengtaung(ST),MMR014019
 Undergraduate diploma,18,4,22,Kengtaung(ST),MMR014019
 Graduate,278,179,457,Kengtaung(ST),MMR014019
 Postgraduate diploma,6,5,11,Kengtaung(ST),MMR014019
 Master degree,22,1,23,Kengtaung(ST),MMR014019
 PhD,1,-,1,Kengtaung(ST),MMR014019
 Other,143,32,175,Kengtaung(ST),MMR014019
 Total,5480,4390,9870,Kengtaung(ST),MMR014019
