Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,9196,21626,30822,Yame`thin,MMR010023
 Grade 1,3783,4059,7842,Yame`thin,MMR010023
 Grade 2,5090,7238,12328,Yame`thin,MMR010023
 Grade 3,8734,11455,20189,Yame`thin,MMR010023
 Grade 4,15976,18035,34011,Yame`thin,MMR010023
 Grade 5,29233,27092,56325,Yame`thin,MMR010023
 Grade 6,7517,6347,13864,Yame`thin,MMR010023
 Grade 7,6843,5240,12083,Yame`thin,MMR010023
 Grade 8,6970,4929,11899,Yame`thin,MMR010023
 Grade 9,6512,4246,10758,Yame`thin,MMR010023
 Grade 10,7051,4987,12038,Yame`thin,MMR010023
 Grade 11,2846,1681,4527,Yame`thin,MMR010023
 College,2475,1963,4438,Yame`thin,MMR010023
 Vocational training,123,91,214,Yame`thin,MMR010023
 Undergraduate diploma,262,150,412,Yame`thin,MMR010023
 Graduate,2648,3418,6066,Yame`thin,MMR010023
 Postgraduate diploma,59,78,137,Yame`thin,MMR010023
 Master degree,32,73,105,Yame`thin,MMR010023
 PhD,6,7,13,Yame`thin,MMR010023
 Other,101,87,188,Yame`thin,MMR010023
 Total,115457,122802,238259,Yame`thin,MMR010023
