Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,6890,13199,20089,Thazi,MMR010030
 Grade 1,2604,2871,5475,Thazi,MMR010030
 Grade 2,3467,4721,8188,Thazi,MMR010030
 Grade 3,5316,8119,13435,Thazi,MMR010030
 Grade 4,7614,10182,17796,Thazi,MMR010030
 Grade 5,21602,25580,47182,Thazi,MMR010030
 Grade 6,5749,5909,11658,Thazi,MMR010030
 Grade 7,5488,4961,10449,Thazi,MMR010030
 Grade 8,5551,4083,9634,Thazi,MMR010030
 Grade 9,5898,4097,9995,Thazi,MMR010030
 Grade 10,4143,3063,7206,Thazi,MMR010030
 Grade 11,5884,4920,10804,Thazi,MMR010030
 College,1976,1679,3655,Thazi,MMR010030
 Vocational training,128,52,180,Thazi,MMR010030
 Undergraduate diploma,435,161,596,Thazi,MMR010030
 Graduate,2770,3836,6606,Thazi,MMR010030
 Postgraduate diploma,74,87,161,Thazi,MMR010030
 Master degree,35,70,105,Thazi,MMR010030
 PhD,6,6,12,Thazi,MMR010030
 Other,488,454,942,Thazi,MMR010030
 Total,86118,98050,184168,Thazi,MMR010030
