Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,8637,13845,22482,Dagon Myothit(South),MMR013018
 Grade 1,4056,4319,8375,Dagon Myothit(South),MMR013018
 Grade 2,5170,6316,11486,Dagon Myothit(South),MMR013018
 Grade 3,7587,9841,17428,Dagon Myothit(South),MMR013018
 Grade 4,11254,14346,25600,Dagon Myothit(South),MMR013018
 Grade 5,21393,26258,47651,Dagon Myothit(South),MMR013018
 Grade 6,12763,13988,26751,Dagon Myothit(South),MMR013018
 Grade 7,10820,10246,21066,Dagon Myothit(South),MMR013018
 Grade 8,12958,11030,23988,Dagon Myothit(South),MMR013018
 Grade 9,16140,12944,29084,Dagon Myothit(South),MMR013018
 Grade 10,13995,11296,25291,Dagon Myothit(South),MMR013018
 Grade 11,23860,20234,44094,Dagon Myothit(South),MMR013018
 College,6406,5661,12067,Dagon Myothit(South),MMR013018
 Vocational training,520,242,762,Dagon Myothit(South),MMR013018
 Undergraduate diploma,571,322,893,Dagon Myothit(South),MMR013018
 Graduate,9416,14547,23963,Dagon Myothit(South),MMR013018
 Postgraduate diploma,241,397,638,Dagon Myothit(South),MMR013018
 Master degree,101,274,375,Dagon Myothit(South),MMR013018
 PhD,30,41,71,Dagon Myothit(South),MMR013018
 Other,289,197,486,Dagon Myothit(South),MMR013018
 Total,166207,176344,342551,Dagon Myothit(South),MMR013018
