Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2804,4299,7103,Ngathaingchaung(ST),MMR017006
 Grade 1,1347,1556,2903,Ngathaingchaung(ST),MMR017006
 Grade 2,1736,2231,3967,Ngathaingchaung(ST),MMR017006
 Grade 3,2443,3597,6040,Ngathaingchaung(ST),MMR017006
 Grade 4,3922,5106,9028,Ngathaingchaung(ST),MMR017006
 Grade 5,10410,11890,22300,Ngathaingchaung(ST),MMR017006
 Grade 6,2369,2226,4595,Ngathaingchaung(ST),MMR017006
 Grade 7,2073,1712,3785,Ngathaingchaung(ST),MMR017006
 Grade 8,2260,1566,3826,Ngathaingchaung(ST),MMR017006
 Grade 9,2310,1592,3902,Ngathaingchaung(ST),MMR017006
 Grade 10,2300,1730,4030,Ngathaingchaung(ST),MMR017006
 Grade 11,1505,1280,2785,Ngathaingchaung(ST),MMR017006
 College,519,544,1063,Ngathaingchaung(ST),MMR017006
 Vocational training,36,23,59,Ngathaingchaung(ST),MMR017006
 Undergraduate diploma,80,47,127,Ngathaingchaung(ST),MMR017006
 Graduate,909,1520,2429,Ngathaingchaung(ST),MMR017006
 Postgraduate diploma,13,18,31,Ngathaingchaung(ST),MMR017006
 Master degree,5,17,22,Ngathaingchaung(ST),MMR017006
 PhD,2,2,4,Ngathaingchaung(ST),MMR017006
 Other,1659,1729,3388,Ngathaingchaung(ST),MMR017006
 Total,38702,42685,81387,Ngathaingchaung(ST),MMR017006
