Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,992,1088,2080,Pyigyimandaing,MMR006010
 Grade 1,430,355,785,Pyigyimandaing,MMR006010
 Grade 2,538,505,1043,Pyigyimandaing,MMR006010
 Grade 3,773,740,1513,Pyigyimandaing,MMR006010
 Grade 4,894,758,1652,Pyigyimandaing,MMR006010
 Grade 5,1380,1119,2499,Pyigyimandaing,MMR006010
 Grade 6,504,451,955,Pyigyimandaing,MMR006010
 Grade 7,436,330,766,Pyigyimandaing,MMR006010
 Grade 8,368,273,641,Pyigyimandaing,MMR006010
 Grade 9,472,354,826,Pyigyimandaing,MMR006010
 Grade 10,308,263,571,Pyigyimandaing,MMR006010
 Grade 11,348,308,656,Pyigyimandaing,MMR006010
 College,113,72,185,Pyigyimandaing,MMR006010
 Vocational training,4,6,10,Pyigyimandaing,MMR006010
 Undergraduate diploma,12,8,20,Pyigyimandaing,MMR006010
 Graduate,158,98,256,Pyigyimandaing,MMR006010
 Postgraduate diploma,4,8,12,Pyigyimandaing,MMR006010
 Master degree,5,2,7,Pyigyimandaing,MMR006010
 Other,11,3,14,Pyigyimandaing,MMR006010
 Total,7750,6741,14491,Pyigyimandaing,MMR006010
