Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,7012,8836,15848,Mudon,MMR011005
 Grade 1,4144,4437,8581,Mudon,MMR011005
 Grade 2,6578,7212,13790,Mudon,MMR011005
 Grade 3,8333,9441,17774,Mudon,MMR011005
 Grade 4,8583,10402,18985,Mudon,MMR011005
 Grade 5,13590,15856,29446,Mudon,MMR011005
 Grade 6,6161,6757,12918,Mudon,MMR011005
 Grade 7,5359,5188,10547,Mudon,MMR011005
 Grade 8,5273,4808,10081,Mudon,MMR011005
 Grade 9,4851,4386,9237,Mudon,MMR011005
 Grade 10,3220,3212,6432,Mudon,MMR011005
 Grade 11,3451,3923,7374,Mudon,MMR011005
 College,1576,1702,3278,Mudon,MMR011005
 Vocational training,106,75,181,Mudon,MMR011005
 Undergraduate diploma,312,133,445,Mudon,MMR011005
 Graduate,2395,5654,8049,Mudon,MMR011005
 Postgraduate diploma,58,137,195,Mudon,MMR011005
 Master degree,36,97,133,Mudon,MMR011005
 PhD,3,16,19,Mudon,MMR011005
 Other,595,317,912,Mudon,MMR011005
 Total,81636,92589,174225,Mudon,MMR011005
