Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,3698,7229,10927,Butalin,MMR005013
 Grade 1,1374,1518,2892,Butalin,MMR005013
 Grade 2,1956,2876,4832,Butalin,MMR005013
 Grade 3,2905,4888,7793,Butalin,MMR005013
 Grade 4,3894,6111,10005,Butalin,MMR005013
 Grade 5,15471,19773,35244,Butalin,MMR005013
 Grade 6,3195,3627,6822,Butalin,MMR005013
 Grade 7,2845,2776,5621,Butalin,MMR005013
 Grade 8,2933,2702,5635,Butalin,MMR005013
 Grade 9,2800,2547,5347,Butalin,MMR005013
 Grade 10,2467,1953,4420,Butalin,MMR005013
 Grade 11,2213,2058,4271,Butalin,MMR005013
 College,808,766,1574,Butalin,MMR005013
 Vocational training,44,30,74,Butalin,MMR005013
 Undergraduate diploma,145,68,213,Butalin,MMR005013
 Graduate,1644,2497,4141,Butalin,MMR005013
 Postgraduate diploma,33,58,91,Butalin,MMR005013
 Master degree,8,66,74,Butalin,MMR005013
 PhD,3,1,4,Butalin,MMR005013
 Other,1489,1989,3478,Butalin,MMR005013
 Total,49925,63533,113458,Butalin,MMR005013
