Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,9642,10689,20331,Kongyan,MMR015023
 Grade 1,913,809,1722,Kongyan,MMR015023
 Grade 2,1058,930,1988,Kongyan,MMR015023
 Grade 3,988,642,1630,Kongyan,MMR015023
 Grade 4,889,466,1355,Kongyan,MMR015023
 Grade 5,644,250,894,Kongyan,MMR015023
 Grade 6,598,209,807,Kongyan,MMR015023
 Grade 7,236,64,300,Kongyan,MMR015023
 Grade 8,77,26,103,Kongyan,MMR015023
 Grade 9,106,32,138,Kongyan,MMR015023
 Grade 10,44,33,77,Kongyan,MMR015023
 Grade 11,36,17,53,Kongyan,MMR015023
 College,24,13,37,Kongyan,MMR015023
 Vocational training,2,3,5,Kongyan,MMR015023
 Undergraduate diploma,4,-,4,Kongyan,MMR015023
 Graduate,65,54,119,Kongyan,MMR015023
 Postgraduate diploma,12,5,17,Kongyan,MMR015023
 Master degree,5,1,6,Kongyan,MMR015023
 Total,15343,14243,29586,Kongyan,MMR015023
