Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1427,1646,3073,Hopin(ST),MMR001007
 Grade 1,640,652,1292,Hopin(ST),MMR001007
 Grade 2,830,948,1778,Hopin(ST),MMR001007
 Grade 3,1106,1429,2535,Hopin(ST),MMR001007
 Grade 4,1872,2374,4246,Hopin(ST),MMR001007
 Grade 5,3705,4494,8199,Hopin(ST),MMR001007
 Grade 6,1766,1851,3617,Hopin(ST),MMR001007
 Grade 7,1594,1522,3116,Hopin(ST),MMR001007
 Grade 8,1791,1560,3351,Hopin(ST),MMR001007
 Grade 9,1653,1566,3219,Hopin(ST),MMR001007
 Grade 10,1376,1505,2881,Hopin(ST),MMR001007
 Grade 11,1346,1638,2984,Hopin(ST),MMR001007
 College,596,777,1373,Hopin(ST),MMR001007
 Vocational training,43,20,63,Hopin(ST),MMR001007
 Undergraduate diploma,33,38,71,Hopin(ST),MMR001007
 Graduate,877,1709,2586,Hopin(ST),MMR001007
 Postgraduate diploma,15,32,47,Hopin(ST),MMR001007
 Master degree,20,34,54,Hopin(ST),MMR001007
 PhD,-,1,1,Hopin(ST),MMR001007
 Other,80,74,154,Hopin(ST),MMR001007
 Total,20770,23870,44640,Hopin(ST),MMR001007
