Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,8926,9576,18502,Theinni,MMR015002
 Grade 1,1239,975,2214,Theinni,MMR015002
 Grade 2,1595,1258,2853,Theinni,MMR015002
 Grade 3,1880,1615,3495,Theinni,MMR015002
 Grade 4,1913,1867,3780,Theinni,MMR015002
 Grade 5,2559,2466,5025,Theinni,MMR015002
 Grade 6,1270,1305,2575,Theinni,MMR015002
 Grade 7,1019,1010,2029,Theinni,MMR015002
 Grade 8,1059,1080,2139,Theinni,MMR015002
 Grade 9,1058,968,2026,Theinni,MMR015002
 Grade 10,746,769,1515,Theinni,MMR015002
 Grade 11,908,1143,2051,Theinni,MMR015002
 College,295,234,529,Theinni,MMR015002
 Vocational training,9,8,17,Theinni,MMR015002
 Undergraduate diploma,41,29,70,Theinni,MMR015002
 Graduate,493,594,1087,Theinni,MMR015002
 Postgraduate diploma,19,80,99,Theinni,MMR015002
 Master degree,27,12,39,Theinni,MMR015002
 PhD,1,2,3,Theinni,MMR015002
 Other,605,256,861,Theinni,MMR015002
 Total,25662,25247,50909,Theinni,MMR015002
