Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1586,1443,3029,Wawlaymyaing(ST),MMR003005
 Grade 1,290,296,586,Wawlaymyaing(ST),MMR003005
 Grade 2,357,289,646,Wawlaymyaing(ST),MMR003005
 Grade 3,391,352,743,Wawlaymyaing(ST),MMR003005
 Grade 4,285,318,603,Wawlaymyaing(ST),MMR003005
 Grade 5,302,328,630,Wawlaymyaing(ST),MMR003005
 Grade 6,188,159,347,Wawlaymyaing(ST),MMR003005
 Grade 7,147,126,273,Wawlaymyaing(ST),MMR003005
 Grade 8,101,76,177,Wawlaymyaing(ST),MMR003005
 Grade 9,126,81,207,Wawlaymyaing(ST),MMR003005
 Grade 10,112,71,183,Wawlaymyaing(ST),MMR003005
 Grade 11,63,57,120,Wawlaymyaing(ST),MMR003005
 College,13,13,26,Wawlaymyaing(ST),MMR003005
 Vocational training,3,-,3,Wawlaymyaing(ST),MMR003005
 Undergraduate diploma,2,1,3,Wawlaymyaing(ST),MMR003005
 Graduate,35,21,56,Wawlaymyaing(ST),MMR003005
 Postgraduate diploma,2,6,8,Wawlaymyaing(ST),MMR003005
 Other,202,109,311,Wawlaymyaing(ST),MMR003005
 Total,4205,3746,7951,Wawlaymyaing(ST),MMR003005
