Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,355,407,762,Hsinbo(ST),MMR001001
 Grade 1,221,228,449,Hsinbo(ST),MMR001001
 Grade 2,275,322,597,Hsinbo(ST),MMR001001
 Grade 3,452,482,934,Hsinbo(ST),MMR001001
 Grade 4,596,562,1158,Hsinbo(ST),MMR001001
 Grade 5,1061,925,1986,Hsinbo(ST),MMR001001
 Grade 6,414,386,800,Hsinbo(ST),MMR001001
 Grade 7,399,283,682,Hsinbo(ST),MMR001001
 Grade 8,348,256,604,Hsinbo(ST),MMR001001
 Grade 9,299,176,475,Hsinbo(ST),MMR001001
 Grade 10,181,146,327,Hsinbo(ST),MMR001001
 Grade 11,203,207,410,Hsinbo(ST),MMR001001
 College,45,69,114,Hsinbo(ST),MMR001001
 Vocational training,3,1,4,Hsinbo(ST),MMR001001
 Undergraduate diploma,10,7,17,Hsinbo(ST),MMR001001
 Graduate,77,97,174,Hsinbo(ST),MMR001001
 Postgraduate diploma,1,8,9,Hsinbo(ST),MMR001001
 Master degree,3,-,3,Hsinbo(ST),MMR001001
 PhD,-,1,1,Hsinbo(ST),MMR001001
 Other,68,8,76,Hsinbo(ST),MMR001001
 Total,5011,4571,9582,Hsinbo(ST),MMR001001
