Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,683,190,873,Talay(ST),MMR016009
 Rural,1618,1527,3145,Talay(ST),MMR016009
 Total,2301,1717,4018,Talay(ST),MMR016009
