Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2451,1412,3863,Taungtha,MMR010018
 Rural,12077,33912,45989,Taungtha,MMR010018
 Total,14528,35324,49852,Taungtha,MMR010018
