Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,360,417,777,Ahmar(ST),MMR017023
 Rural,7011,19998,27009,Ahmar(ST),MMR017023
 Total,7371,20415,27786,Ahmar(ST),MMR017023
