Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2043,1535,3578,Ingapu,MMR017013
 Rural,16724,36927,53651,Ingapu,MMR017013
 Total,18767,38462,57229,Ingapu,MMR017013
