Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1458,625,2083,Mineshu,MMR014017
 Rural,2820,4298,7118,Mineshu,MMR014017
 Total,4278,4923,9201,Mineshu,MMR014017
