Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2287,483,2770,Pinlaung,MMR014009
 Rural,11529,11205,22734,Pinlaung,MMR014009
 Total,13816,11688,25504,Pinlaung,MMR014009
