Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3865,1462,5327,Yame`thin,MMR010023
 Rural,15359,36573,51932,Yame`thin,MMR010023
 Total,19224,38035,57259,Yame`thin,MMR010023
