Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1664,295,1959,Minepan,MMR014021
 Rural,1140,2322,3462,Minepan,MMR014021
 Total,2804,2617,5421,Minepan,MMR014021
