Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3707,2471,6178,Toungup,MMR012016
 Rural,3893,15168,19061,Toungup,MMR012016
 Total,7600,17639,25239,Toungup,MMR012016
