Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,964,226,1190,Mineyaung,MMR016011
 Rural,3715,1424,5139,Mineyaung,MMR016011
 Total,4679,1650,6329,Mineyaung,MMR016011
