Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1804,962,2766,Yekyi,MMR017006
 Rural,10169,14867,25036,Yekyi,MMR017006
 Total,11973,15829,27802,Yekyi,MMR017006
