Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,4369,1754,6123,Lewe,MMR018007
 Rural,20633,38418,59051,Lewe,MMR018007
 Total,25002,40172,65174,Lewe,MMR018007
