Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,325,21,346,Manhero(ST),MMR015009
 Rural,1194,103,1297,Manhero(ST),MMR015009
 Total,1519,124,1643,Manhero(ST),MMR015009
