Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,12724,7635,20359,Taikkyi,MMR013005
 Rural,16758,29882,46640,Taikkyi,MMR013005
 Total,29482,37517,66999,Taikkyi,MMR013005
