Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,123,32,155,Naphang,MMR015006
 Rural,3338,12981,16319,Naphang,MMR015006
 Total,3461,13013,16474,Naphang,MMR015006
