Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2623,1335,3958,Kungyangon,MMR013029
 Rural,8298,16096,24394,Kungyangon,MMR013029
 Total,10921,17431,28352,Kungyangon,MMR013029
