Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2829,1215,4044,Bilin,MMR011010
 Rural,14124,21063,35187,Bilin,MMR011010
 Total,16953,22278,39231,Bilin,MMR011010
