Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1574,602,2176,Kyaikemaraw,MMR011002
 Rural,20258,16454,36712,Kyaikemaraw,MMR011002
 Total,21832,17056,38888,Kyaikemaraw,MMR011002
