Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,71,14,85,Mawhtike(ST),MMR015023
 Rural,1834,2284,4118,Mawhtike(ST),MMR015023
 Total,1905,2298,4203,Mawhtike(ST),MMR015023
